context_token_position_0;context_token_position_1;context_token_position_2;context_token_position_3;context_token_position_4;context_token_position_5;context_token_position_6;context_token_position_7;context_token_position_8;context_token_position_9;context_token_position_10;context_token_position_11;context_token_position_12;context_token_position_13;input_token_position_0;input_token_position_1;input_token_position_2;input_token_position_3;input_token_position_4;input_token_position_5;input_token_position_6;input_token_position_7;input_token_position_8;input_token_position_9;input_token_position_10;input_token_position_11;input_token_position_12;input_token_position_13;target_token_position_0;target_token_position_1;target_token_position_2;target_token_position_3;target_token_position_4;target_token_position_5;target_token_position_6;target_token_position_7;target_token_position_8;target_token_position_9;target_token_position_10;target_token_position_11;target_token_position_12;target_token_position_13
2;35;77;34;182;5;3;0;0;0;0;0;0;0;2;34;84;33;147;4;3;0;0;0;0;0;0;0;34;84;33;147;4;3;0;0;0;0;0;0;0;0
2;16;19;81;157;42;25;44;97;134;41;5;3;0;2;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0
2;38;34;65;9;105;47;135;5;3;0;0;0;0;2;35;53;75;0;0;4;3;0;0;0;0;0;0;35;53;75;0;0;4;3;0;0;0;0;0;0;0
2;37;36;58;42;35;180;5;3;0;0;0;0;0;2;69;60;185;4;3;0;0;0;0;0;0;0;0;69;60;185;4;3;0;0;0;0;0;0;0;0;0
2;39;30;81;62;154;8;47;8;15;81;41;122;3;2;34;0;47;36;0;4;3;0;0;0;0;0;0;34;0;47;36;0;4;3;0;0;0;0;0;0;0
2;149;19;192;157;53;8;9;192;152;177;5;3;0;2;0;47;41;163;0;4;3;0;0;0;0;0;0;0;47;41;163;0;4;3;0;0;0;0;0;0;0
2;35;49;34;26;92;44;122;43;5;3;0;0;0;2;34;51;33;126;4;3;0;0;0;0;0;0;0;34;51;33;126;4;3;0;0;0;0;0;0;0;0
2;178;34;25;112;192;99;22;146;41;192;95;44;3;2;33;0;0;4;3;0;0;0;0;0;0;0;0;33;0;0;4;3;0;0;0;0;0;0;0;0;0
2;16;176;27;197;81;9;62;81;47;153;41;5;3;2;187;0;0;4;3;0;0;0;0;0;0;0;0;187;0;0;4;3;0;0;0;0;0;0;0;0;0
2;32;81;195;36;70;18;192;143;5;3;0;0;0;2;0;80;0;4;3;0;0;0;0;0;0;0;0;0;80;0;4;3;0;0;0;0;0;0;0;0;0
2;35;20;81;196;96;30;112;41;14;62;44;139;3;2;40;0;0;0;4;3;0;0;0;0;0;0;0;40;0;0;0;4;3;0;0;0;0;0;0;0;0
2;37;30;192;130;27;62;112;157;108;42;64;81;3;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0
2;38;19;192;129;41;42;11;120;94;5;3;0;0;2;7;35;0;0;0;4;3;0;0;0;0;0;0;7;35;0;0;0;4;3;0;0;0;0;0;0;0
2;39;10;120;125;35;14;195;192;47;112;62;5;3;2;34;0;0;40;0;4;3;0;0;0;0;0;0;34;0;0;40;0;4;3;0;0;0;0;0;0;0
2;149;36;74;15;138;5;3;0;0;0;0;0;0;2;119;83;0;4;3;0;0;0;0;0;0;0;0;119;83;0;4;3;0;0;0;0;0;0;0;0;0
