como qualquer adolescente , so quer que gostem dela e ser aceite .	and like any teenager , she just wants to be liked and to fit in .
e nem o gana o tinha feito , ainda que estivessemos a tentar arduamente .	i mean , nor had ghana , even though we had been trying very hard .
o memorial abriu em 2011 , e o museu abre no proximo ano , em 2014 .	so the memorial opened in 2011 , and the museum 's going to open next year in 2014 .
( aplausos )	( applause )
entao agora o que posso fazer e , mais do que obter instrucoes para o dispositivo online , eu posso simplesmente apontar para ele , o dispositivo e reconhecido , e entao — voz : comece por ligar o cabo adsl cinza .	so now what i can do is , rather than getting the instructions for the device online , i can simply point at it , the device is recognized , and then — voice : begin by plugging in the grey adsl cable .
o primeiro jornal independente da eslovaquia .	first independent newspaper in slovakia .
penso que a marca de uma grande empresa e mostrar abertura aos desafios , e a marca de uma boa administracao e desafiar de forma construtiva .	i think the mark of a great company is being open to be challenged , and the mark of a good corporate board is to constructively challenge .
e em nenhuma outra ocasiao nos apercebemos mais disso do que durante o furacao sandy . o furacao sandy foi uma super tempestade como nao se via ha muito tempo que atingiu a capital universal do iphone ... ( risos ) e tivemos uma quantidade de noticias nunca antes vista .	and nowhere was this brought home more than during hurricane sandy . so what you had in hurricane sandy was a superstorm , the likes of which we had n't seen for a long time , hitting the iphone capital of the universe — ( laughter ) — and you got volumes of media like we 'd never seen before .
quem e o responsavel por este processo ?	who is accountable for this process ?
ele ... a sua namorada estava gravida quando ele foi para tribunal , certo ? e ela teve um pequeno bebe , um menino .	he — his girlfriend was pregnant when he went to trial , right ? and she had a little baby boy .
no total , encontrei 185 produtos .	in total , i found 185 products .
na verdade , esse e o quadro de previsao .	in fact , this is the forecast picture .
ira durar muito , muito tempo .	it will last for a long , long time .
as instituicoes governamentais foram completamente destruidas , incluindo o palacio presidencial .	government institutions were completely decapitated , including the presidential palace .
se se prolongar por mais do que um segundo , e suficiente para , basicamente , destruir as proteinas das celulas .	if you do it for more than a second , it 's enough to basically destroy the proteins of the cells .
somos as unicas criaturas com sentimentos morais completamente desenvolvidos .	we 're the only creatures with fully developed moral sentiments .
creio que o pior insulto , a pior ofensa , que se pode fazer a um mexicano e insultar a sua mae .	i think the biggest insult , the worst way you can offend a mexican is to insult their mother .
nascemos para elas .	we 're born for them .
bem as escritas linguisticas realmente codificam multiplas linguas .	well linguistic scripts can actually encode multiple languages .
eu tenho um irmao , o gavin .	so i have a brother , gavin .
portanto , e uma boa licao para nos .	so it 's a good lesson for us .
e antes mesmo de ter decidido fazer da narrativa de historias a minha profissao , consigo ver agora acontecimentos-chave na minha juventude que , de certo modo , abriram de facto os meus olhos para certas coisas acerca das historias .	and before i 'd even decided to make storytelling my career , i can now see key things that happened in my youth that really sort of opened my eyes to certain things about story .
quando o casamento era um empreendimento economico , a infidelidade ameacava a nossa seguranca economica .	when marriage was an economic enterprise , infidelity threatened our economic security .
e , na verdade , a melhora .	it actually improves it .
estavamos num dos paises mais pobres do planeta , mas 80 por cento das pessoas tinha telemoveis nas suas maos .	we were in one of the poorest countries on the planet , but 80 percent of the people had mobile devices in their hands .
e mesmo que sejam cegos , podem por a mao sobre ela , e ver as faixas da estrada e obstaculos .	so even though you are blind , you can put your hand over it , you can see the lanes of the road and obstacles .
de facto , as pessoas tem-me dito que agora vao gostar de ser picadas pelos mosquitos .	in fact , people have told me that now they will enjoy being bitten by mosquitos .
mais uma coisa .	one more thing .
eu aprendi imensa coisa sobre mim mesma .	i learned so much about myself .
e elas pararam .	and they did .
entao podem investir o mesmo carinho , a mesma tecnica , num hamburguer como investiriam num prato muito mais pomposo .	so you can lavish all the same care , all the same technique , on a hamburger as you would on some much more fancy dish .
o que se passa cada vez mais , e que estes sistemas tem comecado a usar internet .	what 's happening increasingly , though , is these systems are beginning to use the internet .
nao estou a sugerir que nos tenhamos que ser sexualmente fieis aos nossos parceiros .	i 'm not suggesting that we 're not — that we 're necessarily sexually faithful to our partners .
( risos ) para muitas pessoas , isto e uma loucura .	( laughter ) to many people , this seems crazy .
e naquele dia , por acaso , gostei de uma sobre as vantagens da literacia musical nas escolas e partilhei-a numa rede social .	and in this particular case i happened to like one of them on the merits of music literacy in schools and i shared it over a social network .
eu ja . procuro-a sempre .	i do . i look for it all the time .
a segunda ronda de votos tambem nao apurou um vencedor claro .	now the second round of voting did not bring forth a clear winner either .
a tecnologia da informacao cresce de forma exponencial .	information technology grows in an exponential manner .
deixou de sentir-se impotente e apercebeu-se do que era capaz de apoiar a filha , com o apoio de outras pessoas	she went from feeling helpless to realizing how capable she was of supporting her daughter , with the support of other people who were going through the same struggle .
eu vi coisas bem feias .	we saw some very ugly things .
2 % nao e 20 % mas , no negocio dos carros , que e muito lento a mudar , isso e enorme , e uma chegada .	two percent is n't 20 percent , but in the car business , which is slow moving , that 's huge ; that 's arrival .
captar e correlacionar os rastos de informacao que deixamos nos mais diversos sitios e um desafio enorme , mas que nos estao a pedir para realizar .	now , capturing and correlating the trails of information that we leave in different places is a massive challenge , but one we 're being asked to figure out .
portanto , nao nos podemos dar por satisfeitos , nem de longe .	so we ca n't be satisfied , not even close to satisfied .
no inicio e muito uniforme .	at the beginning it 's very uniform .
jeff norris : ola , alex .	jeff norris : hey , alex .
vamos chegar la rapidamente ?	are we going to be there soon ?
`` a vossa resposta ao `` '' stress '' '' quer ter a certeza de que voces reparam quando alguem na vossa vida esta a passar por uma situacao dificil para que se possam apoiar mutuamente . ''	your stress response wants to make sure you notice when someone else in your life is struggling so that you can support each other .
nos podemos descodificar o genoma , podemos olhar para tras e ligar-nos a todos pelo adn mitocondrial , mas , nao conseguimos ir alem do ultimo ancestral , a ultima celula visivel que poderiamos sequenciar ou pensar atras na historia .	you can decode the genome , you can look back , you can link us all together by a mitochondrial dna , but we ca n't get further than the last ancestor , the last visible cell that we could sequence or think back in history .
porque eu penso que todos irao concordar que o unico proposito legitimo do governo e servir os cidadaos . e eu argumentaria que o unico proposito legitimo da tecnologia e melhorar as nossas vidas , nao para nos manipular e escravizar .	because i think all of you will agree that the only legitimate purpose of government is to serve citizens , and i would argue that the only legitimate purpose of technology is to improve our lives , not to manipulate or enslave us .
sao 600 mil milhoes de dolares por ano e esta a aumentar , e estas pessoas estao a ser exploradas .	this is 600 billion dollars a year , and it 's growing , and these people are getting ripped off .
estamos no ano 1960 .	the year is 1960 .
por outras palavras , o petroleo esta a deixar de ser competitivo mesmo com precos baixos , antes de se tornar escasso , mesmo com os precos altos .	in other words , oil is getting uncompetitive even at low prices before it becomes unavailable even at high prices .
embora muita gente me tentasse confortar e encorajar , as suas palavras soavam a barulho sem sentido .	although many people tried to comfort and encourage me , their words sounded like meaningless noise .
por exemplo , o numero 164 destaca-se bastante no codigo ; nao se pode desprezar .	so for example , the number 164 really stands out in that code ; you ca n't overlook it .
e o livro todo .	it 's the whole book .
estavamos errados entao , e estamos errados novamente .	we were wrong then , and we are wrong again .
de facto , a nossa sociedade de consumo e largamente baseada no capital de seducao .	indeed , our consumer society is largely based on seduction capital .
mas nao e uma tarefa facil .	but it is not an easy task .
eu nao tenho nenhuma relacao com os eua , com nenhum do seus 50 estados .	i have no relationship with the united states , all 50 of them , not really .
muito obrigada .	thank you very much .
( aplausos )	( applause )
congelamos metade do cerebro . ele regenera .	you can freeze half the brain . it regrows .
entao testei isto com criancas autistas , e descobri que havia uma quantidade incrivel de identificacao .	so i tried this out with kids with autism , and i found that there was an incredible amount of identification .
`` entao , estes colegas dizem : `` '' nos podemos , sim , `` '' recuperar as outras areas , `` '' inclusive desertos '' '' . ''	these colleagues propose that , yes , we can save other areas , including deserts .
e e muito simples , como podem ver aqui .	and it 's really simple , as you can see here .
o problema era que um grupo influente em oxford comecou a defender que , por ter funcionado tao bem na economia , este metodo dedutivo devia ser aplicado as ciencias naturais tambem .	the problem was that an influential group at oxford began arguing that because it worked so well in economics , this deductive method ought to be applied to the natural sciences too .
isto e determinado em grande escala pelo tempo de repercussao , quao repercussiva e uma sala .	this is affected massively by reverberation time , how reverberant a room is .
temos oportunidades na agricultura , como ja disse .	we have opportunities in agriculture , like i said .
com a resposta instantanea , o computador classifica os exercicios .	with instant feedback , the computer grades exercises .
ele desmontou o manuscrito de arquimedes e os outros sete manuscritos ,	he took apart the archimedes manuscript and the other seven manuscripts .
pedacos de pedra chegaram a terra .	pieces of rocks landed on the earth .
