Cargo_Total;SalidaHornoCucharaTemp;TiempoOnTotal;TiempoOffTotal;OxigenoMecheros;GasMecheros;GrafitoTotal;OxigenCojetTotal;PotenciaActiva
150.3;1623.0;3592;2557;21;0;144;981;65610
138.959;1605.0;2506;33;8;0;348;2489;53595
138.765;1605.0;2565;77;8;0;348;2534;54060
138.417;1605.0;2514;33;9;0;355;2399;54030
138.32;1594.0;2469;576;9;0;248;2292;51540
138.788;1602.0;2481;739;10;0;310;2460;52515
145.024;1600.0;2498;30;8;0;235;2471;52575
138.406;1601.0;2410;36;8;0;180;2291;50025
138.025;1594.0;2405;30;12;0;237;2405;50025
138.635;1588.0;2239;33;74;34;102;2094;49080
138.393;1581.0;2534;33;81;36;321;2342;52080
138.925;1595.0;2241;33;74;34;168;2082;49125
138.642;1593.0;2315;69;77;36;123;2194;49035
138.498;1610.0;2469;47;77;36;197;2243;50520
138.901;1585.0;2303;33;77;35;190;2238;49035
138.304;1601.0;2317;33;7;0;180;2462;48975
138.699;1594.0;2405;36;15;0;304;2572;51810
138.064;1601.0;2272;36;8;0;138;2415;49035
138.064;1601.0;2272;36;8;0;138;2415;49035
138.064;1601.0;2272;36;8;0;138;2415;49035
138.332;1593.0;2309;33;9;0;196;2395;48990
138.32;1592.0;2354;47;87;33;140;2420;48975
137.791;1588.0;2303;33;85;31;150;2405;49035
138.575;1582.0;2275;33;0;31;176;2412;49035
136.898;1595.0;2292;33;83;30;111;2473;47970
139.037;1596.0;2357;146;82;31;172;2493;49035
139.037;1596.0;2357;146;82;31;172;2493;49035
139.037;1596.0;2357;146;82;31;172;2493;49035
138.465;1617.0;2329;36;82;30;185;2466;49035
138.671;1590.0;2846;39;94;34;357;3015;54525
155.39;1592.0;3468;1261;23;0;727;5191;65040
137.359;1577.0;2329;36;84;31;114;2528;48045
139.442;1591.0;2331;69;82;30;141;2573;49560
136.109;1584.0;2241;33;79;29;145;2467;48060
137.707;1580.0;2244;101;80;29;125;2450;48060
137.771;1576.0;2256;36;66;29;120;2467;47970
138.015;1574.0;2236;36;65;30;122;2446;48030
138.767;1573.0;2253;33;64;30;105;2479;48015
138.861;1584.0;2230;36;64;29;87;2471;48030
138.297;1580.0;2396;33;73;32;151;2178;49080
138.177;1585.0;2742;30;70;30;534;1670;58500
138.517;1583.0;2256;90;59;27;123;2450;48015
138.698;1584.0;2278;33;7;0;107;2502;48525
138.138;1581.0;2309;157;9;0;150;2543;49035
137.359;1591.0;2458;87;84;31;131;2406;49065
137.813;1586.0;2315;36;86;31;146;2637;49035
139.177;1576.0;2295;33;81;30;132;2536;48015
137.781;1576.0;2346;30;83;31;79;2583;47955
138.136;1598.0;2329;33;10;0;187;2054;48540
138.836;1595.0;2315;36;57;25;207;2483;49050
138.98;1595.0;2272;33;8;0;121;2423;49110
137.983;1595.0;2270;33;7;0;182;2369;49080
138.798;1582.0;2295;30;84;31;152;2406;49485
138.21;1594.0;2379;33;85;31;241;2741;50565
138.268;1579.0;2247;33;83;31;104;2356;49035
137.855;1577.0;2250;33;83;31;145;2362;49050
