context_token_position_0;context_token_position_1;context_token_position_2;context_token_position_3;context_token_position_4;context_token_position_5;context_token_position_6;context_token_position_7;context_token_position_8;context_token_position_9;context_token_position_10;context_token_position_11;context_token_position_12;context_token_position_13;input_token_position_0;input_token_position_1;input_token_position_2;input_token_position_3;input_token_position_4;input_token_position_5;input_token_position_6;input_token_position_7;input_token_position_8;input_token_position_9;input_token_position_10;input_token_position_11;input_token_position_12;input_token_position_13;target_token_position_0;target_token_position_1;target_token_position_2;target_token_position_3;target_token_position_4;target_token_position_5;target_token_position_6;target_token_position_7;target_token_position_8;target_token_position_9;target_token_position_10;target_token_position_11;target_token_position_12;target_token_position_13
2;37;117;36;263;6;3;0;0;0;0;0;0;0;2;35;113;34;226;4;3;0;0;0;0;0;0;0;35;113;34;226;4;3;0;0;0;0;0;0;0;0
2;18;21;101;258;45;27;71;127;80;46;6;3;0;2;76;65;279;95;89;296;81;46;4;3;0;0;0;76;65;279;95;89;296;81;46;4;3;0;0;0;0
2;40;36;75;11;272;166;6;3;0;0;0;0;0;2;36;45;79;76;284;75;8;315;312;199;4;3;0;36;45;79;76;284;75;8;315;312;199;4;3;0;0
2;39;38;85;45;37;144;6;3;0;0;0;0;0;2;96;70;162;4;3;0;0;0;0;0;0;0;0;96;70;162;4;3;0;0;0;0;0;0;0;0;0
2;41;32;228;46;232;10;17;101;46;118;187;93;3;2;35;27;154;307;61;313;61;65;38;15;189;316;312;35;27;154;307;61;313;61;65;38;15;189;316;312;3
2;209;21;171;74;10;11;303;273;107;6;3;0;0;2;29;312;320;74;95;65;40;109;14;154;95;150;4;29;312;320;74;95;65;40;109;14;154;95;150;4;3
2;37;72;36;28;98;71;280;6;3;0;0;0;0;2;35;71;34;194;4;3;0;0;0;0;0;0;0;35;71;34;194;4;3;0;0;0;0;0;0;0;0
2;286;36;27;122;303;132;24;231;46;303;270;6;3;2;34;19;152;320;83;8;309;319;261;4;3;0;0;34;19;152;320;83;8;309;319;261;4;3;0;0;0
2;18;261;29;177;101;11;115;101;73;153;81;46;3;2;170;11;189;15;142;315;256;4;3;0;0;0;0;170;11;189;15;142;315;256;4;3;0;0;0;0;0
2;44;38;43;239;6;3;0;0;0;0;0;0;0;2;43;42;242;4;3;0;0;0;0;0;0;0;0;43;42;242;4;3;0;0;0;0;0;0;0;0;0
2;37;134;32;267;16;115;71;268;6;3;0;0;0;2;39;178;13;319;74;14;74;95;73;99;4;3;0;39;178;13;319;74;14;74;95;73;99;4;3;0;0
2;39;32;303;200;29;115;122;258;173;45;254;101;3;2;29;73;313;133;74;128;20;61;172;172;4;3;0;29;73;313;133;74;128;20;61;172;172;4;3;0;0
2;40;21;303;92;111;45;13;247;6;3;0;0;0;2;8;36;19;74;14;319;46;89;9;61;312;201;4;8;36;19;74;14;319;46;89;9;61;312;201;4;3
2;41;12;152;83;37;140;6;3;0;0;0;0;0;2;35;23;319;74;150;106;39;147;4;3;0;0;0;35;23;319;74;150;106;39;147;4;3;0;0;0;0
2;209;38;59;17;164;6;3;0;0;0;0;0;0;2;82;57;20;319;198;4;3;0;0;0;0;0;0;82;57;20;319;198;4;3;0;0;0;0;0;0;0
