context_token_position_0;context_token_position_1;context_token_position_2;context_token_position_3;context_token_position_4;input_token_position_0;input_token_position_1;input_token_position_2;input_token_position_3;target_token_position_0;target_token_position_1;target_token_position_2;target_token_position_3
2;4;4;4;3;2;4;4;4;4;4;4;3
2;4;4;5;3;2;4;4;5;4;4;5;3
2;4;4;6;3;2;4;4;6;4;4;6;3
2;4;4;7;3;2;4;4;7;4;4;7;3
2;4;4;8;3;2;4;4;8;4;4;8;3
2;4;4;9;3;2;4;4;9;4;4;9;3
2;4;4;10;3;2;4;4;10;4;4;10;3
2;4;4;11;3;2;4;4;11;4;4;11;3
2;4;4;12;3;2;4;4;12;4;4;12;3
2;4;4;13;3;2;4;4;13;4;4;13;3
2;4;4;14;3;2;4;4;14;4;4;14;3
2;4;4;15;3;2;4;4;15;4;4;15;3
2;4;4;16;3;2;4;4;16;4;4;16;3
2;4;4;17;3;2;4;4;17;4;4;17;3
2;4;4;18;3;2;4;4;18;4;4;18;3
2;4;4;19;3;2;4;4;19;4;4;19;3
2;4;4;20;3;2;4;4;20;4;4;20;3
2;4;4;21;3;2;4;4;21;4;4;21;3
2;4;4;22;3;2;4;4;22;4;4;22;3
2;4;4;23;3;2;4;4;23;4;4;23;3
2;4;4;24;3;2;4;4;24;4;4;24;3
2;4;4;25;3;2;4;4;25;4;4;25;3
2;4;4;26;3;2;4;4;26;4;4;26;3
2;4;4;27;3;2;4;4;27;4;4;27;3
2;4;4;28;3;2;4;4;28;4;4;28;3
2;4;4;29;3;2;4;4;29;4;4;29;3
2;4;5;4;3;2;4;5;4;4;5;4;3
2;4;5;5;3;2;4;5;5;4;5;5;3
2;4;5;6;3;2;4;5;6;4;5;6;3
2;4;5;7;3;2;4;5;7;4;5;7;3
2;4;5;8;3;2;4;5;8;4;5;8;3
2;4;5;9;3;2;4;5;9;4;5;9;3
2;4;5;10;3;2;4;5;10;4;5;10;3
2;4;5;11;3;2;4;5;11;4;5;11;3
2;4;5;12;3;2;4;5;12;4;5;12;3
2;4;5;13;3;2;4;5;13;4;5;13;3
2;4;5;14;3;2;4;5;14;4;5;14;3
2;4;5;15;3;2;4;5;15;4;5;15;3
2;4;5;16;3;2;4;5;16;4;5;16;3
2;4;5;17;3;2;4;5;17;4;5;17;3
2;4;5;18;3;2;4;5;18;4;5;18;3
2;4;5;19;3;2;4;5;19;4;5;19;3
2;4;5;20;3;2;4;5;20;4;5;20;3
2;4;5;21;3;2;4;5;21;4;5;21;3
2;4;5;22;3;2;4;5;22;4;5;22;3
2;4;5;23;3;2;4;5;23;4;5;23;3
2;4;5;24;3;2;4;5;24;4;5;24;3
2;4;5;25;3;2;4;5;25;4;5;25;3
2;4;5;26;3;2;4;5;26;4;5;26;3
2;4;5;27;3;2;4;5;27;4;5;27;3
2;4;5;28;3;2;4;5;28;4;5;28;3
2;4;5;29;3;2;4;5;29;4;5;29;3
2;4;6;4;3;2;4;6;4;4;6;4;3
2;4;6;5;3;2;4;6;5;4;6;5;3
2;4;6;6;3;2;4;6;6;4;6;6;3
2;4;6;7;3;2;4;6;7;4;6;7;3
2;4;6;8;3;2;4;6;8;4;6;8;3
2;4;6;9;3;2;4;6;9;4;6;9;3
2;4;6;10;3;2;4;6;10;4;6;10;3
2;4;6;11;3;2;4;6;11;4;6;11;3
2;4;6;12;3;2;4;6;12;4;6;12;3
2;4;6;13;3;2;4;6;13;4;6;13;3
2;4;6;14;3;2;4;6;14;4;6;14;3
2;4;6;15;3;2;4;6;15;4;6;15;3
2;4;6;16;3;2;4;6;16;4;6;16;3
2;4;6;17;3;2;4;6;17;4;6;17;3
2;4;6;18;3;2;4;6;18;4;6;18;3
2;4;6;19;3;2;4;6;19;4;6;19;3
