context_token_position_0;context_token_position_1;context_token_position_2;input_token_position_0;input_token_position_1;target_token_position_0;target_token_position_1
1;3;2;1;3;3;2
1;4;2;1;4;4;2
1;5;2;1;5;5;2
1;6;2;1;6;6;2
1;7;2;1;7;7;2
1;8;2;1;8;8;2
1;9;2;1;9;9;2
1;10;2;1;10;10;2
1;11;2;1;11;11;2
1;12;2;1;12;12;2
1;13;2;1;13;13;2
1;14;2;1;14;14;2
1;15;2;1;15;15;2
1;16;2;1;16;16;2
1;17;2;1;17;17;2
1;18;2;1;18;18;2
1;19;2;1;19;19;2
1;20;2;1;20;20;2
1;21;2;1;21;21;2
1;22;2;1;22;22;2
1;23;2;1;23;23;2
1;24;2;1;24;24;2
1;25;2;1;25;25;2
1;26;2;1;26;26;2
1;27;2;1;27;27;2
1;28;2;1;28;28;2
1;29;2;1;29;29;2
1;30;2;1;30;30;2
1;31;2;1;31;31;2
1;32;2;1;32;32;2
1;33;2;1;33;33;2
1;34;2;1;34;34;2
1;35;2;1;35;35;2
1;36;2;1;36;36;2
1;37;2;1;37;37;2
1;38;2;1;38;38;2
1;39;2;1;39;39;2
1;40;2;1;40;40;2
1;41;2;1;41;41;2
1;42;2;1;42;42;2
1;43;2;1;43;43;2
1;44;2;1;44;44;2
1;45;2;1;45;45;2
1;46;2;1;46;46;2
1;47;2;1;47;47;2
1;48;2;1;48;48;2
1;49;2;1;49;49;2
1;50;2;1;50;50;2
1;51;2;1;51;51;2
1;52;2;1;52;52;2
1;53;2;1;53;53;2
1;54;2;1;54;54;2
1;55;2;1;55;55;2
1;56;2;1;56;56;2
1;57;2;1;57;57;2
1;58;2;1;58;58;2
1;59;2;1;59;59;2
1;60;2;1;60;60;2
1;61;2;1;61;61;2
1;62;2;1;62;62;2
1;63;2;1;63;63;2
1;64;2;1;64;64;2
1;65;2;1;65;65;2
1;66;2;1;66;66;2
1;67;2;1;67;67;2
1;68;2;1;68;68;2
1;69;2;1;69;69;2
1;70;2;1;70;70;2
1;71;2;1;71;71;2
1;72;2;1;72;72;2
1;73;2;1;73;73;2
1;74;2;1;74;74;2
1;75;2;1;75;75;2
1;76;2;1;76;76;2
1;77;2;1;77;77;2
1;78;2;1;78;78;2
