context_token_position_0;context_token_position_1;context_token_position_2;context_token_position_3;context_token_position_4;input_token_position_0;input_token_position_1;input_token_position_2;input_token_position_3;target_token_position_0;target_token_position_1;target_token_position_2;target_token_position_3
1;3;3;3;2;1;3;3;3;3;3;3;2
1;3;3;4;2;1;3;3;4;3;3;4;2
1;3;3;5;2;1;3;3;5;3;3;5;2
1;3;3;6;2;1;3;3;6;3;3;6;2
1;3;3;7;2;1;3;3;7;3;3;7;2
1;3;3;8;2;1;3;3;8;3;3;8;2
1;3;3;9;2;1;3;3;9;3;3;9;2
1;3;3;10;2;1;3;3;10;3;3;10;2
1;3;3;11;2;1;3;3;11;3;3;11;2
1;3;3;12;2;1;3;3;12;3;3;12;2
1;3;3;13;2;1;3;3;13;3;3;13;2
1;3;3;14;2;1;3;3;14;3;3;14;2
1;3;3;15;2;1;3;3;15;3;3;15;2
1;3;3;16;2;1;3;3;16;3;3;16;2
1;3;3;17;2;1;3;3;17;3;3;17;2
1;3;3;18;2;1;3;3;18;3;3;18;2
1;3;3;19;2;1;3;3;19;3;3;19;2
1;3;3;20;2;1;3;3;20;3;3;20;2
1;3;3;21;2;1;3;3;21;3;3;21;2
1;3;3;22;2;1;3;3;22;3;3;22;2
1;3;3;23;2;1;3;3;23;3;3;23;2
1;3;3;24;2;1;3;3;24;3;3;24;2
1;3;3;25;2;1;3;3;25;3;3;25;2
1;3;3;26;2;1;3;3;26;3;3;26;2
1;3;3;27;2;1;3;3;27;3;3;27;2
1;3;3;28;2;1;3;3;28;3;3;28;2
1;3;4;3;2;1;3;4;3;3;4;3;2
1;3;4;4;2;1;3;4;4;3;4;4;2
1;3;4;5;2;1;3;4;5;3;4;5;2
1;3;4;6;2;1;3;4;6;3;4;6;2
1;3;4;7;2;1;3;4;7;3;4;7;2
1;3;4;8;2;1;3;4;8;3;4;8;2
1;3;4;9;2;1;3;4;9;3;4;9;2
1;3;4;10;2;1;3;4;10;3;4;10;2
1;3;4;11;2;1;3;4;11;3;4;11;2
1;3;4;12;2;1;3;4;12;3;4;12;2
1;3;4;13;2;1;3;4;13;3;4;13;2
1;3;4;14;2;1;3;4;14;3;4;14;2
1;3;4;15;2;1;3;4;15;3;4;15;2
1;3;4;16;2;1;3;4;16;3;4;16;2
1;3;4;17;2;1;3;4;17;3;4;17;2
1;3;4;18;2;1;3;4;18;3;4;18;2
1;3;4;19;2;1;3;4;19;3;4;19;2
1;3;4;20;2;1;3;4;20;3;4;20;2
1;3;4;21;2;1;3;4;21;3;4;21;2
1;3;4;22;2;1;3;4;22;3;4;22;2
1;3;4;23;2;1;3;4;23;3;4;23;2
1;3;4;24;2;1;3;4;24;3;4;24;2
