DATE,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
01/03/2013 00:00,9,9,3,17,300,89,-0.5,1024.5,-21.4,0,337.5,5.7
01/03/2013 01:00,4,4,3,16,300,88,-0.7,1025.1,-22.1,0,315,3.9
01/03/2013 02:00,7,7,NA,17,300,60,-1.2,1025.3,-24.6,0,337.5,5.3
01/03/2013 03:00,3,3,5,18,NA,NA,-1.4,1026.2,-25.5,0,0,4.9
01/03/2013 04:00,3,3,7,NA,200,84,-1.9,1027.1,-24.5,0,337.5,3.2
01/03/2013 05:00,4,4,9,25,300,78,-2.4,1027.5,-21.3,0,315,2.4
01/03/2013 06:00,5,5,10,29,400,67,-2.5,1028.2,-20.4,0,315,2.2
01/03/2013 07:00,3,6,12,40,400,52,-1.4,1029.5,-20.4,0,337.5,3
01/03/2013 08:00,3,6,12,41,500,54,-0.3,1030.4,-21.2,0,315,4.6
01/03/2013 09:00,3,6,9,31,400,69,0.4,1030.5,-23.3,0,0,5.5
01/03/2013 10:00,3,6,7,19,300,82,1.4,1030.2,-22.5,0,0,5.2
01/03/2013 11:00,6,6,7,19,400,83,2.9,1029.8,-22.9,0,337.5,5.3
01/03/2013 12:00,3,6,6,18,300,86,4,1028.6,-21.2,0,270,4.6
01/03/2013 13:00,3,6,5,16,300,91,5,1027.8,-21.2,0,315,4.5
01/03/2013 14:00,3,6,5,16,300,92,6.2,1027.6,-22.2,0,315,4
01/03/2013 15:00,3,10,5,17,300,92,6,1027.7,-21.3,0,337.5,2.1
01/03/2013 16:00,9,17,6,19,300,91,5.6,1027.7,-20.7,0,0,1.8
01/03/2013 17:00,9,22,9,21,400,87,4.4,1028.2,-20.9,0,0,3.5
01/03/2013 18:00,11,23,8,28,400,79,3.2,1029.4,-20.3,0,337.5,0.5
01/03/2013 19:00,13,17,12,42,600,63,3,1030.1,-19.7,0,0,1.1
01/03/2013 20:00,5,13,9,38,500,64,1.6,1031.3,-19,0,67.5,1.2
01/03/2013 21:00,15,17,13,51,600,48,0.8,1032.4,-19.7,0,45,1
01/03/2013 22:00,19,21,17,60,700,36,0.1,1032.9,-19.2,0,67.5,1.8
