"Month,""Passengers"""
1989-01,112
1989-02,118
1989-03,132
1989-04,129
1989-05,121
1989-06,135
1989-07,148
1989-08,148
1989-09,136
1989-10,119
1989-11,104
1989-12,118
1990-01,115
1990-02,126
1990-03,141
1990-04,135
1990-05,125
1990-06,149
1990-07,170
1990-08,170
1990-09,158
1990-10,133
1990-11,114
1990-12,140
1991-01,145
1991-02,150
1991-03,178
1991-04,163
1991-05,172
1991-06,178
1991-07,199
1991-08,199
1991-09,184
1991-10,162
1991-11,146
1991-12,166
1992-01,171
1992-02,180
1992-03,193
1992-04,181
1992-05,183
1992-06,218
1992-07,230
1992-08,242
1992-09,209
1992-10,191
1992-11,172
1992-12,194
1993-01,196
1993-02,196
1993-03,236
1993-04,235
1993-05,229
1993-06,243
1993-07,264
1993-08,272
1993-09,237
1993-10,211
1993-11,180
1993-12,201
1994-01,204
1994-02,188
1994-03,235
1994-04,227
1994-05,234
1994-06,264
1994-07,302
1994-08,293
1994-09,259
1994-10,229
1994-11,203
1994-12,229
1995-01,242
1995-02,233
1995-03,267
1995-04,269
1995-05,270
1995-06,315
1995-07,364
1995-08,347
1995-09,312
1995-10,274
1995-11,237
1995-12,278
1996-01,284
1996-02,277
1996-03,317
1996-04,313
1996-05,318
1996-06,374
1996-07,413
1996-08,405
1996-09,355
1996-10,306
1996-11,271
1996-12,306
1997-01,315
1997-02,301
1997-03,356
1997-04,348
1997-05,355
1997-06,422
1997-07,465
1997-08,467
1997-09,404
1997-10,347
1997-11,305
1997-12,336
1998-01,340
1998-02,318
1998-03,362
1998-04,348
1998-05,363
1998-06,435
1998-07,491
1998-08,505
1998-09,404
1998-10,359
1998-11,310
1998-12,337
1999-01,360
1999-02,342
1999-03,406
1999-04,396
1999-05,420
1999-06,472
1999-07,548
1999-08,559
1999-09,463
1999-10,407
1999-11,362
1999-12,405
2000-01,417
2000-02,391
2000-03,419
2000-04,461
2000-05,472
2000-06,535
2000-07,622
2000-08,606
2000-09,508
2000-10,461
2000-11,390
2000-12,432
