context_token_position_0;context_token_position_1;context_token_position_2;context_token_position_3;context_token_position_4;context_token_position_5;context_token_position_6;context_token_position_7;context_token_position_8;context_token_position_9;context_token_position_10;context_token_position_11;context_token_position_12;context_token_position_13;context_token_position_14;context_token_position_15;context_token_position_16;context_token_position_17;context_token_position_18;context_token_position_19;context_token_position_20;context_token_position_21;context_token_position_22;context_token_position_23;context_token_position_24;context_token_position_25;context_token_position_26;context_token_position_27;context_token_position_28;context_token_position_29;context_token_position_30;context_token_position_31;context_token_position_32;context_token_position_33;context_token_position_34;context_token_position_35;context_token_position_36;context_token_position_37;context_token_position_38;context_token_position_39;context_token_position_40;input_token_position_0;input_token_position_1;target_token_position_0;target_token_position_1
2;10;103;218;64;133;56;98;70;124;66;331;63;82;41;91;83;82;60;54;61;54;112;198;42;40;101;35;87;34;36;269;304;105;348;17;0;0;0;0;0;2;9;9;3
2;85;131;15;132;55;111;302;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;77;70;60;43;164;395;262;211;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;53;194;66;184;70;36;269;304;105;61;336;61;45;208;69;190;127;23;379;46;294;223;120;17;46;164;391;232;312;4;4;0;0;0;0;0;0;0;0;0;2;9;9;3
2;60;46;159;64;77;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;86;66;43;390;176;176;144;60;331;66;155;63;66;45;295;136;313;66;155;37;83;175;299;315;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;123;88;86;52;147;111;185;397;243;150;52;147;111;41;393;162;105;79;36;269;78;164;290;78;61;15;217;42;109;164;176;295;60;39;393;112;71;52;243;0;2;9;9;3
2;123;88;102;51;164;397;105;48;327;91;17;17;17;88;46;303;78;86;65;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;47;83;79;198;66;52;98;15;42;258;76;68;189;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;219;34;258;71;189;62;135;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;62;60;100;92;64;77;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;41;83;81;75;42;109;125;105;120;180;157;40;101;69;117;60;150;390;176;294;111;96;66;60;38;396;78;243;76;79;96;17;0;0;0;0;0;0;0;0;2;10;10;3
2;123;60;257;56;91;83;52;83;125;91;229;76;35;87;34;124;105;83;24;14;39;78;42;52;78;241;347;66;72;159;83;38;396;175;61;61;167;52;78;0;2;9;9;3
2;75;85;92;53;118;101;393;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;328;64;75;48;76;76;15;99;60;113;5;36;141;318;5;64;72;75;214;142;106;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;41;390;265;74;140;70;169;107;56;118;101;114;34;35;141;302;173;78;118;67;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;34;76;394;339;186;87;211;185;72;122;39;101;342;79;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;103;275;103;85;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;95;77;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;63;36;141;159;161;353;49;141;239;82;34;56;98;84;330;88;56;269;76;91;41;110;279;84;124;158;164;112;390;61;109;116;45;208;17;0;0;0;0;0;2;9;9;3
2;42;56;264;80;280;10;52;56;83;262;61;210;62;39;342;141;110;79;106;37;267;292;195;61;15;97;224;72;155;63;66;49;164;267;305;17;0;0;0;0;2;9;9;3
2;42;213;65;66;108;73;68;44;244;144;39;267;83;62;34;262;61;342;223;83;74;170;76;63;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;36;101;109;221;105;290;337;231;102;60;46;233;46;390;61;144;191;69;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;42;86;58;129;66;51;393;112;65;171;96;122;141;110;257;35;241;61;62;84;10;52;53;118;248;37;192;73;101;223;36;118;241;176;69;17;0;0;0;0;2;10;10;3
2;42;213;63;70;68;46;179;220;62;52;118;83;93;34;282;73;60;96;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;77;49;101;290;89;129;49;290;18;67;36;101;109;262;294;336;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;10;128;48;327;79;65;67;70;26;46;269;78;118;61;215;62;145;52;98;84;63;10;52;60;148;46;101;262;390;144;67;42;10;128;93;17;0;0;0;2;10;10;3
2;42;225;112;10;53;360;84;60;82;61;78;105;393;290;78;195;61;49;105;101;394;293;76;56;91;83;41;83;141;125;209;66;124;17;0;0;0;0;0;0;2;9;9;3
2;356;351;78;308;124;53;111;89;62;42;93;66;49;393;340;151;60;113;125;118;211;62;53;111;89;80;60;67;17;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;226;10;53;41;342;76;251;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;65;64;34;52;390;109;300;45;196;78;144;67;66;108;15;97;60;35;105;83;164;89;333;64;54;112;164;290;175;125;78;230;17;0;0;0;0;0;0;0;2;9;9;3
2;65;90;64;42;76;291;70;356;121;124;56;118;322;113;61;102;75;52;243;61;196;167;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;63;64;54;112;303;137;82;34;46;101;270;203;142;39;248;395;98;52;125;83;79;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;42;86;257;190;58;317;45;83;389;78;82;65;36;269;78;247;290;78;62;42;41;229;65;67;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;203;184;99;104;99;34;290;184;102;82;290;141;393;76;79;66;309;52;326;88;47;147;51;393;112;151;71;43;393;159;83;17;41;390;265;87;140;79;0;0;2;10;10;3
2;88;47;83;79;142;45;83;208;22;46;294;61;66;155;66;119;67;35;320;117;60;135;88;187;53;349;80;60;67;17;96;278;64;52;118;321;17;0;0;0;2;9;9;3
2;63;114;44;83;125;78;136;75;104;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;236;53;111;89;135;49;91;389;232;109;164;112;175;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;60;131;64;77;62;95;276;73;60;25;382;143;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;56;321;118;198;90;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;63;114;34;77;272;84;61;21;109;125;15;62;60;49;159;61;102;156;62;306;73;77;49;159;325;92;17;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;81;72;42;109;125;105;120;180;35;87;65;90;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;156;94;134;76;313;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;149;308;40;241;262;333;70;34;393;76;390;101;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;132;202;94;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;63;114;106;60;39;83;164;325;61;42;56;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;56;118;101;82;60;267;313;46;244;64;40;269;112;164;183;65;96;31;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;130;34;105;176;393;69;73;128;105;390;199;51;83;176;289;69;60;37;105;344;323;271;56;83;51;129;349;79;60;67;61;130;257;37;192;17;0;0;0;0;2;9;9;3
2;65;131;52;83;83;109;61;104;253;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;352;73;96;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;72;45;101;393;76;274;62;226;10;53;53;349;80;121;63;52;118;101;393;197;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;85;49;105;179;292;195;62;138;72;309;67;173;35;393;141;89;87;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;34;54;61;137;44;83;87;262;101;289;34;290;78;393;166;53;349;61;34;49;76;164;353;34;51;291;16;56;232;197;108;209;46;164;158;295;82;61;78;0;2;10;10;3
2;65;67;64;357;52;78;393;105;76;87;62;42;10;128;47;147;93;169;45;241;177;312;73;63;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;170;65;285;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;186;87;222;200;63;64;276;62;51;83;164;61;269;137;70;60;134;42;17;38;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;75;352;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
