Date,Average temperature,Precipitation,Average wind speed,Wind gust,Maximum pressure,NO2,O3
19/08/2005,24.6,0,2.2,16.1,945.1,52.65999985,28.70999908
20/08/2005,23.2,0,3.6,12.5,945.5,60.45999908,37.40000153
21/08/2005,19.3,0,2.2,10.8,946.1,67.58000183,25.60000038
22/08/2005,20.4,0,1.1,10.3,945.5,63.11000061,28.44000053
23/08/2005,23,0,2.2,10,943.9,61.41999817,8.119999886
24/08/2005,24.6,0,3.1,8.1,941.5,47.22000122,36.79999924
25/08/2005,26.3,0,2.2,10.3,939.4,57.49000168,33.68000031
26/08/2005,26.2,0,3.3,9.7,940.7,96.59999847,8.319999695
27/08/2005,26.5,0,2.2,7.5,941,69.41000366,6.730000019
28/08/2005,26.7,0,2.5,8.9,941.7,65.59999847,6.349999905
29/08/2005,27,0,1.7,8.3,943.3,76.91999817,7.090000153
30/08/2005,27.6,0,1.9,8.3,944.6,81.56999969,12.02000046
31/08/2005,26.5,0,1.9,7.8,940.9,64.59999847,10.98999977
01/09/2005,25.7,0,1.9,7.8,940.5,65.48999786,10.31000042
02/09/2005,26.4,0,1.7,8.6,943.7,67.54000092,6.139999866
03/09/2005,27.4,0,1.4,6.9,945.9,54.54999924,15.64000034
04/09/2005,26.9,0,2.5,10,946.1,55.36999893,23.19000053
05/09/2005,23.6,0,3.1,11.1,941.7,74.16999817,8.140000343
06/09/2005,18.8,1,3.3,12.2,937.5,68.48000336,20.62999916
07/09/2005,17,1.5,2.5,10.3,937.7,77.12000275,6.980000019
08/09/2005,19.4,0,1.9,7.5,938.7,60.11999893,7.489999771
09/09/2005,20.8,1,3.6,15.3,940.2,94.05999756,6.730000019
10/09/2005,18.4,0,2.5,10.3,941.3,70.41999817,18.71999931
11/09/2005,17.4,0,2.2,10,939.8,69.5,13.09000015
12/09/2005,19,0,2.2,9.4,943.7,46.52999878,45.68999863
13/09/2005,19.6,0,2.8,8.9,946.7,72.30999756,10.96000004
14/09/2005,21.2,0,1.7,6.1,950.1,65.91999817,8.239999771
15/09/2005,23,0,1.7,6.7,948.9,15.75,56.54000092
16/09/2005,23.4,0,2.5,11.4,941.7,63.65000153,39.45000076
17/09/2005,16.7,0,4.7,15.3,940.6,102.4000015,8.159999847
18/09/2005,14.2,0,1.7,8.1,944.7,79.27999878,17.02000046
19/09/2005,15.5,0,1.4,8.3,947,73.34999847,14.36999989
20/09/2005,18.7,0,1.7,6.4,946.6,109.9000015,8.149999619
21/09/2005,19.8,0,1.9,6.1,941.9,61.75,7.28000021
22/09/2005,21.2,0,2.2,8.3,942.6,55.40000153,18.42000008
23/09/2005,21.9,0,1.7,6.1,941.5,70.5,10.47000027
24/09/2005,22,0,1.7,9.4,942.3,65.02999878,9.369999886
25/09/2005,20.5,2.9,1.7,13.1,942.1,67.59999847,10.03999996
26/09/2005,17.7,0,1.7,10.6,945.3,67.01000214,22
27/09/2005,19.1,0,0.6,5.3,946.6,59.84000015,28.44000053
28/09/2005,20.5,0,1.4,5.3,947.7,51.27999878,12.92000008
29/09/2005,21.4,0,1.7,10,948.2,61.90999985,8.390000343
30/09/2005,20.3,0,1.7,8.9,948.3,72.44999695,7.099999905
01/10/2005,22,0,1.9,11.4,944.7,84.62999725,7.039999962
02/10/2005,16.4,0,4.2,12.5,946.1,63.59999847,7.050000191
03/10/2005,15,0,2.8,12.5,948.1,64.58999634,37.70999908
04/10/2005,14.8,0,1.4,7.2,946.6,86.87999725,36.31000137
05/10/2005,16.2,0,1.9,6.4,945.5,96.72000122,13.81000042
06/10/2005,16.9,0,1.1,6.7,942.3,67.36000061,37.27000046
07/10/2005,17.6,0,2.2,6.7,942.6,73.84999847,31.97999954
08/10/2005,17.5,0,1.1,5.6,943.4,86.44999695,17.59000015
09/10/2005,18.9,0,1.4,5,945.7,153.1000061,8
10/10/2005,18,14.5,1.9,7.8,943,135.3000031,9.510000229
11/10/2005,17.2,13,1.7,8.1,940.2,129.6999969,6.929999828
12/10/2005,16.8,9.6,2.5,13.3,937.8,61.15000153,32.02999878
13/10/2005,11.4,4.2,1.7,8.3,939.9,58.00999832,48.43999863
14/10/2005,11.5,0,1.7,3.3,942.5,88.81999969,22.01000023
15/10/2005,12.6,0,1.1,5.8,944.5,46.97999954,43.90999985
16/10/2005,14.4,0,1.7,6.7,944.6,33.81999969,50.97000122
17/10/2005,15.2,2.9,0.8,5.8,942.1,73.26999664,11.81999969
18/10/2005,15.8,0.1,2.5,8.3,939.4,68.26999664,22.78000069
19/10/2005,14.2,0,1.7,7.5,941.9,70.08999634,30.68000031
