1-2;Estructural;Fragmentada;Viruta;Bote_Fragmentado;Escarpa;Conos_y_Tortas;ARRABIO;1-2_Importacion;Estanada;Otras_Chatarras;Cargo_Total;SalidaHornoCucharaTemp;TiempoOnTotal;TiempoOffTotal;OxigenoMecheros;GasMecheros;GrafitoTotal;OxigenCojetTotal;SecuenciaEsPrimera_num;PotenciaActiva
39.4;29.4;55.2;12.0;0.0;0.0;0.0;0.0;0.0;14.3;0.0;150.3;1623.0;3592;2557;21;0;144;981;1;65610
50.862;13.301;28.628;12.372;8.696;5.62;0.0;0.0;13.939;5.54;0.0;138.959;1605.0;2506;33;8;0;348;2489;0;53595
58.383;11.133;26.438;10.149;9.871;3.863;0.0;0.0;14.853;4.075;0.0;138.765;1605.0;2565;77;8;0;348;2534;0;54060
46.34;11.33;33.052;11.472;11.855;9.763;0.0;0.0;14.606;0.0;0.0;138.417;1605.0;2514;33;9;0;355;2399;0;54030
55.154;9.778;29.618;13.715;8.727;5.225;0.0;0.0;10.399;5.708;0.0;138.32;1594.0;2469;576;9;0;248;2292;0;51540
49.331;12.233;31.924;12.808;9.486;5.684;0.0;0.0;13.602;3.719;0.0;138.788;1602.0;2481;739;10;0;310;2460;0;52515
57.946;13.33;26.135;7.246;12.468;9.445;0.0;0.0;12.604;5.849;0.0;145.024;1600.0;2498;30;8;0;235;2471;0;52575
50.422;11.924;32.442;11.103;9.847;3.876;0.0;0.0;13.021;5.771;0.0;138.406;1601.0;2410;36;8;0;180;2291;0;50025
54.095;10.146;27.238;12.203;8.591;10.254;0.0;0.0;10.099;5.398;0.0;138.025;1594.0;2405;30;12;0;237;2405;0;50025
49.673;12.462;27.151;12.675;9.386;7.981;0.0;0.0;13.542;5.766;0.0;138.635;1588.0;2239;33;74;34;102;2094;0;49080
49.739;14.063;31.69;12.713;9.245;4.785;0.0;0.0;10.067;6.093;0.0;138.393;1581.0;2534;33;81;36;321;2342;0;52080
52.621;14.242;26.862;13.556;8.974;6.871;0.0;0.0;11.225;4.573;0.0;138.925;1595.0;2241;33;74;34;168;2082;0;49125
53.638;11.383;30.826;10.572;8.743;7.541;0.0;0.0;10.888;5.051;0.0;138.642;1593.0;2315;69;77;36;123;2194;0;49035
52.602;15.413;26.572;14.239;10.13;5.64;0.0;0.0;9.256;4.644;0.0;138.498;1610.0;2469;47;77;36;197;2243;0;50520
55.8;13.499;24.297;11.102;10.453;7.428;0.0;0.0;11.509;4.812;0.0;138.901;1585.0;2303;33;77;35;190;2238;0;49035
59.541;15.304;21.379;11.56;7.058;6.62;0.0;0.0;10.667;6.174;0.0;138.304;1601.0;2317;33;7;0;180;2462;0;48975
55.964;11.35;23.607;11.871;11.792;3.906;0.0;0.0;13.676;6.532;0.0;138.699;1594.0;2405;36;15;0;304;2572;0;51810
56.812;12.805;26.49;12.907;9.039;0.0;0.0;0.0;16.293;3.719;0.0;138.064;1601.0;2272;36;8;0;138;2415;0;49035
56.812;12.805;26.49;12.907;9.039;0.0;0.0;0.0;16.293;3.719;0.0;138.064;1601.0;2272;36;8;0;138;2415;0;49035
56.812;12.805;26.49;12.907;9.039;0.0;0.0;0.0;16.293;3.719;0.0;138.064;1601.0;2272;36;8;0;138;2415;0;49035
55.445;13.889;29.439;12.997;7.769;0.0;0.0;0.0;13.736;5.057;0.0;138.332;1593.0;2309;33;9;0;196;2395;0;48990
54.541;13.17;32.199;13.887;8.544;0.0;0.0;0.0;11.687;4.29;0.0;138.32;1592.0;2354;47;87;33;140;2420;0;48975
61.217;14.258;27.124;12.41;8.379;0.0;0.0;0.0;10.219;4.183;0.0;137.791;1588.0;2303;33;85;31;150;2405;0;49035
55.902;14.215;26.884;14.288;11.057;0.0;0.0;0.0;11.632;4.595;0.0;138.575;1582.0;2275;33;0;31;176;2412;0;49035
78.176;17.518;0.0;12.748;9.5;0.0;0.0;0.0;13.791;5.165;0.0;136.898;1595.0;2292;33;83;30;111;2473;0;47970
85.353;20.361;0.0;10.089;9.071;0.0;0.0;0.0;9.55;4.612;0.0;139.037;1596.0;2357;146;82;31;172;2493;0;49035
85.353;20.361;0.0;10.089;9.071;0.0;0.0;0.0;9.55;4.612;0.0;139.037;1596.0;2357;146;82;31;172;2493;0;49035
85.353;20.361;0.0;10.089;9.071;0.0;0.0;0.0;9.55;4.612;0.0;139.037;1596.0;2357;146;82;31;172;2493;0;49035
82.653;14.03;0.0;16.575;9.631;0.0;0.0;0.0;10.247;5.328;0.0;138.465;1617.0;2329;36;82;30;185;2466;0;49035
87.104;12.994;4.655;13.871;14.809;0.0;0.0;0.0;5.238;0.0;0.0;138.671;1590.0;2846;39;94;34;357;3015;0;54525
52.237;7.344;33.535;5.703;12.945;29.547;0.0;0.0;14.079;0.0;0.0;155.39;1592.0;3468;1261;23;0;727;5191;0;65040
86.394;13.67;0.0;10.776;11.754;0.0;0.0;0.0;10.535;4.23;0.0;137.359;1577.0;2329;36;84;31;114;2528;0;48045
87.436;18.577;0.0;12.394;5.645;0.0;0.0;0.0;9.239;6.15;0.0;139.442;1591.0;2331;69;82;30;141;2573;0;49560
74.212;16.736;0.0;9.936;10.394;5.166;0.0;0.0;15.56;4.105;0.0;136.109;1584.0;2241;33;79;29;145;2467;0;48060
69.88;15.186;3.904;13.885;13.252;2.1;0.0;0.0;14.82;4.682;0.0;137.707;1580.0;2244;101;80;29;125;2450;0;48060
67.146;17.46;12.723;11.237;4.807;5.929;0.0;0.0;12.896;5.575;0.0;137.771;1576.0;2256;36;66;29;120;2467;0;47970
66.962;14.258;12.869;10.574;10.965;4.812;0.0;0.0;13.725;3.847;0.0;138.015;1574.0;2236;36;65;30;122;2446;0;48030
66.007;12.338;11.876;10.824;10.567;7.411;0.0;0.0;13.769;5.974;0.0;138.767;1573.0;2253;33;64;30;105;2479;0;48015
70.722;16.72;4.089;12.03;8.42;7.981;0.0;0.0;14.291;4.606;0.0;138.861;1584.0;2230;36;64;29;87;2471;0;48030
62.185;14.433;12.157;10.635;9.261;8.902;0.0;0.0;13.699;7.023;0.0;138.297;1580.0;2396;33;73;32;151;2178;0;49080
67.052;12.777;12.305;10.692;10.627;5.002;0.0;0.0;15.462;4.259;0.0;138.177;1585.0;2742;30;70;30;534;1670;1;58500
73.597;14.264;12.353;10.46;8.334;0.0;0.0;0.0;13.889;5.619;0.0;138.517;1583.0;2256;90;59;27;123;2450;0;48015
80.975;13.135;6.804;12.514;9.408;0.0;0.0;0.0;10.66;5.203;0.0;138.698;1584.0;2278;33;7;0;107;2502;0;48525
78.314;12.13;10.295;11.946;8.686;0.0;0.0;0.0;11.849;4.916;0.0;138.138;1581.0;2309;157;9;0;150;2543;0;49035
60.398;16.282;26.562;9.05;8.254;0.0;0.0;0.0;11.167;5.648;0.0;137.359;1591.0;2458;87;84;31;131;2406;0;49065
70.979;14.297;14.539;13.557;12.764;0.0;0.0;0.0;11.675;0.0;0.0;137.813;1586.0;2315;36;86;31;146;2637;0;49035
80.987;19.912;0.0;10.342;8.33;0.0;0.0;0.0;14.961;4.644;0.0;139.177;1576.0;2295;33;81;30;132;2536;0;48015
97.914;14.259;0.0;5.678;5.761;0.0;0.0;0.0;11.014;3.158;0.0;137.781;1576.0;2346;30;83;31;79;2583;0;47955
54.762;13.676;23.007;10.293;11.111;8.177;0.0;0.0;12.039;5.069;0.0;138.136;1598.0;2329;33;10;0;187;2054;0;48540
53.13;13.868;22.436;13.318;9.114;7.281;0.0;0.0;14.351;5.339;0.0;138.836;1595.0;2315;36;57;25;207;2483;0;49050
56.627;11.183;31.183;12.217;11.849;0.0;0.0;0.0;10.184;5.738;0.0;138.98;1595.0;2272;33;8;0;121;2423;0;49110
59.57;14.844;26.364;13.155;8.183;0.0;0.0;0.0;11.395;4.471;0.0;137.983;1595.0;2270;33;7;0;182;2369;0;49080
67.357;17.915;18.712;9.403;8.874;0.0;0.0;0.0;12.762;3.776;0.0;138.798;1582.0;2295;30;84;31;152;2406;0;49485
68.024;13.736;18.782;11.214;8.518;0.0;0.0;0.0;13.623;4.312;0.0;138.21;1594.0;2379;33;85;31;241;2741;0;50565
68.356;14.09;18.457;12.281;11.803;0.0;0.0;0.0;7.263;6.017;0.0;138.268;1579.0;2247;33;83;31;104;2356;0;49035
60.285;11.645;27.281;13.306;15.116;0.0;0.0;0.0;10.222;0.0;0.0;137.855;1577.0;2250;33;83;31;145;2362;0;49050
65.411;14.529;19.268;12.716;11.569;0.0;0.0;0.0;9.658;5.442;0.0;138.592;1583.0;2301;33;86;32;158;2413;0;49020
80.873;11.896;15.567;13.614;15.15;0.0;0.0;0.0;8.068;0.0;0.0;145.169;1575.0;2402;33;88;32;224;2599;0;50580
63.096;17.02;26.031;11.84;8.733;0.0;0.0;0.0;7.334;4.601;0.0;138.652;1580.0;2258;39;82;30;137;2419;0;49005
