kidsdriv,age,homekids,yoj,income,parent1,home_val,mstatus,gender,travtime,car_use,bluebook,tif,red_car,oldclaim,clm_freq,revoked,mvr_pts,car_age,urbanicity,minivan,panel_truck,pickup,sports_car,van,z_suv,<high_school,bachelors,masters,phd,z_high_school,clerical,doctor,home_maker,lawyer,manager,professional,student,z_blue collar,class
0.00000,0.67692,0.00000,0.47826,0.18350,0.00000,0.00000,1.00000,0.00000,0.06569,1.00000,0.18655,0.41667,1.00000,0.07821,0.40000,0.00000,0.23077,0.67742,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0
0.00000,0.41538,0.00000,0.47826,0.24916,0.00000,0.29059,1.00000,0.00000,0.12409,0.00000,0.19695,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.12903,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0
0.00000,0.49231,0.00000,0.47826,0.14408,0.00000,0.00000,1.00000,0.00000,0.15328,1.00000,0.29997,0.00000,1.00000,0.00000,0.00000,0.00000,0.15385,0.41935,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0
0.00000,0.29231,0.20000,0.43478,0.04370,0.00000,0.14028,0.00000,1.00000,0.00000,1.00000,0.03678,0.12500,0.00000,0.67833,0.40000,0.00000,0.23077,0.41935,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.00000,0.53846,0.00000,0.60870,0.16776,0.00000,0.34594,0.00000,0.00000,0.19708,1.00000,0.20428,0.25000,1.00000,0.00000,0.00000,0.00000,0.00000,0.29032,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0
0.00000,0.52308,0.00000,0.45539,0.31329,0.00000,0.27553,0.00000,1.00000,0.22628,1.00000,0.24179,0.00000,0.00000,0.33692,0.40000,1.00000,0.23077,0.64516,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.00000,0.27692,0.20000,0.52174,0.34139,1.00000,0.00000,1.00000,1.00000,0.29927,0.00000,0.23344,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32258,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1
0.00000,0.58462,0.00000,0.45539,0.05110,0.00000,0.17455,0.00000,1.00000,0.20438,1.00000,0.10668,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12903,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0
0.25000,0.36923,0.20000,0.47826,0.13845,1.00000,0.00000,1.00000,0.00000,0.11679,1.00000,0.25542,0.20833,0.00000,0.05777,0.20000,0.00000,0.15385,0.12903,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1
0.00000,0.43077,0.40000,0.52174,0.11848,1.00000,0.00000,1.00000,1.00000,0.18248,0.00000,0.06448,0.37500,0.00000,0.00000,0.00000,0.00000,0.00000,0.41935,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0
0.25000,0.32308,0.40000,0.45539,0.29415,0.00000,0.37692,0.00000,0.00000,0.28467,0.00000,0.22670,0.00000,1.00000,0.04162,0.20000,1.00000,0.76923,0.32258,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1
0.00000,0.27692,0.00000,0.43478,0.17159,0.00000,0.00000,1.00000,1.00000,0.21168,1.00000,0.14215,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12903,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1
0.00000,0.52308,0.00000,0.30435,0.29140,0.00000,0.00000,1.00000,0.00000,0.31387,0.00000,0.24927,0.25000,0.00000,0.00000,0.00000,0.00000,0.07692,0.64516,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0
0.00000,0.56923,0.00000,0.60870,0.21006,0.00000,0.00000,1.00000,1.00000,0.07299,1.00000,0.24619,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45161,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1
0.00000,0.41538,0.00000,0.21739,0.14343,0.00000,0.23718,0.00000,1.00000,0.22628,1.00000,0.30657,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12903,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0
0.00000,0.60000,0.00000,0.47826,0.16119,0.00000,0.20359,0.00000,0.00000,0.14599,0.00000,0.23593,0.25000,1.00000,0.08815,0.40000,1.00000,0.23077,0.38710,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0
