x-box;y-box;width;high;onpix;x-bar;y-bar;x2bar;y2bar;xybar;x2ybr;xy2br;x-ege;xegvy;y-ege;yegvx;lettr
2.1;8.1;3.1;5.1;1.1;8.1;13.1;0.1;6.1;6.1;10.1;8.1;0.1;8.1;0.1;8.1;T
5.0;12.0;3.0;7.0;2.0;10.0;5.0;5.0;4.0;13.0;3.0;9.0;2.0;8.0;4.0;10.0;I
4.0;11.0;6.0;8.0;6.0;10.0;6.0;2.0;6.0;10.0;3.0;7.0;3.0;7.0;3.0;9.0;D
7.0;11.0;6.0;6.0;3.0;5.0;9.0;4.0;6.0;4.0;4.0;10.0;6.0;10.0;2.0;8.0;N
2.0;1.0;3.0;1.0;1.0;8.0;6.0;6.0;6.0;6.0;5.0;9.0;1.0;7.0;5.0;10.0;G
4.0;11.0;5.0;8.0;3.0;8.0;8.0;6.0;9.0;5.0;6.0;6.0;0.0;8.0;9.0;7.0;S
4.0;2.0;5.0;4.0;4.0;8.0;7.0;6.0;6.0;7.0;6.0;6.0;2.0;8.0;7.0;10.0;B
1.0;1.0;3.0;2.0;1.0;8.0;2.0;2.0;2.0;8.0;2.0;8.0;1.0;6.0;2.0;7.0;A
2.0;2.0;4.0;4.0;2.0;10.0;6.0;2.0;6.0;12.0;4.0;8.0;1.0;6.0;1.0;7.0;J
11.0;15.0;13.0;9.0;7.0;13.0;2.0;6.0;2.0;12.0;1.0;9.0;8.0;1.0;1.0;8.0;M
3.0;9.0;5.0;7.0;4.0;8.0;7.0;3.0;8.0;5.0;6.0;8.0;2.0;8.0;6.0;7.0;X
6.0;13.0;4.0;7.0;4.0;6.0;7.0;6.0;3.0;10.0;7.0;9.0;5.0;9.0;5.0;8.0;O
4.0;9.0;6.0;7.0;6.0;7.0;8.0;6.0;2.0;6.0;5.0;11.0;4.0;8.0;7.0;8.0;G
6.0;9.0;8.0;6.0;9.0;7.0;8.0;6.0;5.0;7.0;5.0;8.0;8.0;9.0;8.0;6.0;M
5.0;9.0;5.0;7.0;6.0;6.0;11.0;7.0;3.0;7.0;3.0;9.0;2.0;7.0;5.0;11.0;R
6.0;9.0;5.0;4.0;3.0;10.0;6.0;3.0;5.0;10.0;5.0;7.0;3.0;9.0;6.0;9.0;F
3.0;4.0;4.0;3.0;2.0;8.0;7.0;7.0;5.0;7.0;6.0;8.0;2.0;8.0;3.0;8.0;O
7.0;10.0;5.0;5.0;2.0;6.0;8.0;6.0;8.0;11.0;7.0;11.0;2.0;8.0;5.0;9.0;C
6.0;11.0;6.0;8.0;5.0;6.0;11.0;5.0;6.0;11.0;9.0;4.0;3.0;12.0;2.0;4.0;T
2.0;2.0;3.0;3.0;1.0;10.0;6.0;3.0;6.0;12.0;4.0;9.0;0.0;7.0;1.0;7.0;J
1.0;3.0;2.0;2.0;1.0;8.0;8.0;2.0;5.0;14.0;5.0;8.0;0.0;7.0;0.0;7.0;J
4.0;5.0;5.0;4.0;4.0;7.0;7.0;6.0;6.0;7.0;6.0;8.0;3.0;8.0;3.0;8.0;H
3.0;2.0;3.0;3.0;2.0;8.0;8.0;7.0;5.0;7.0;5.0;7.0;2.0;8.0;9.0;8.0;S
6.0;11.0;7.0;8.0;5.0;7.0;6.0;9.0;6.0;7.0;5.0;9.0;4.0;8.0;5.0;5.0;O
3.0;6.0;4.0;4.0;2.0;6.0;6.0;4.0;4.0;14.0;8.0;12.0;1.0;6.0;1.0;6.0;J
6.0;11.0;7.0;8.0;3.0;7.0;8.0;7.0;11.0;4.0;7.0;14.0;1.0;7.0;4.0;8.0;C
7.0;11.0;11.0;8.0;9.0;3.0;8.0;4.0;5.0;10.0;11.0;10.0;10.0;9.0;5.0;7.0;M
12.0;14.0;12.0;8.0;5.0;9.0;10.0;4.0;3.0;5.0;10.0;7.0;10.0;12.0;2.0;6.0;W
6.0;9.0;8.0;7.0;6.0;8.0;6.0;6.0;7.0;7.0;7.0;9.0;6.0;8.0;4.0;8.0;H
3.0;6.0;4.0;4.0;2.0;6.0;6.0;5.0;5.0;6.0;6.0;9.0;2.0;8.0;4.0;8.0;G
2.0;3.0;3.0;4.0;1.0;0.0;1.0;5.0;6.0;0.0;0.0;6.0;0.0;8.0;0.0;8.0;L
1.0;3.0;3.0;1.0;1.0;6.0;4.0;1.0;7.0;8.0;3.0;10.0;0.0;7.0;2.0;9.0;L
8.0;12.0;8.0;6.0;4.0;3.0;10.0;4.0;7.0;12.0;11.0;9.0;3.0;7.0;3.0;4.0;X
5.0;9.0;7.0;7.0;10.0;9.0;8.0;4.0;4.0;6.0;8.0;6.0;6.0;11.0;8.0;7.0;B
6.0;9.0;9.0;7.0;6.0;5.0;6.0;3.0;5.0;10.0;9.0;9.0;8.0;5.0;2.0;7.0;M
4.0;7.0;6.0;5.0;3.0;6.0;6.0;6.0;8.0;6.0;5.0;9.0;3.0;10.0;4.0;8.0;G
4.0;7.0;5.0;5.0;3.0;7.0;7.0;8.0;6.0;7.0;6.0;8.0;3.0;8.0;3.0;8.0;O
3.0;6.0;4.0;4.0;2.0;4.0;14.0;8.0;1.0;11.0;6.0;3.0;0.0;10.0;4.0;8.0;P
4.0;9.0;5.0;6.0;6.0;8.0;5.0;4.0;3.0;7.0;5.0;11.0;6.0;8.0;5.0;11.0;G
3.0;4.0;3.0;6.0;2.0;3.0;8.0;6.0;10.0;7.0;6.0;15.0;0.0;8.0;7.0;8.0;E
5.0;11.0;8.0;8.0;4.0;8.0;8.0;1.0;8.0;10.0;5.0;7.0;3.0;8.0;4.0;8.0;X
3.0;7.0;4.0;5.0;4.0;7.0;7.0;5.0;8.0;8.0;8.0;9.0;3.0;9.0;6.0;9.0;E
4.0;6.0;7.0;4.0;3.0;9.0;7.0;2.0;8.0;11.0;3.0;7.0;3.0;8.0;4.0;9.0;X
4.0;5.0;5.0;8.0;3.0;7.0;6.0;8.0;8.0;6.0;6.0;10.0;1.0;8.0;6.0;11.0;G
7.0;9.0;6.0;5.0;2.0;8.0;10.0;4.0;5.0;8.0;10.0;5.0;4.0;12.0;3.0;8.0;V
4.0;10.0;5.0;7.0;5.0;8.0;7.0;3.0;8.0;5.0;6.0;6.0;3.0;8.0;6.0;8.0;X
5.0;9.0;6.0;7.0;8.0;7.0;9.0;5.0;3.0;7.0;9.0;8.0;6.0;8.0;3.0;8.0;W
1.0;3.0;2.0;1.0;1.0;7.0;7.0;5.0;6.0;7.0;5.0;10.0;1.0;9.0;3.0;9.0;G
8.0;10.0;8.0;6.0;6.0;7.0;7.0;3.0;5.0;8.0;4.0;8.0;6.0;6.0;7.0;7.0;R
3.0;9.0;4.0;7.0;2.0;7.0;5.0;6.0;10.0;5.0;6.0;10.0;0.0;9.0;9.0;8.0;S
7.0;11.0;9.0;8.0;8.0;9.0;5.0;6.0;4.0;7.0;8.0;8.0;3.0;9.0;8.0;3.0;Y
3.0;6.0;3.0;4.0;1.0;1.0;0.0;6.0;6.0;0.0;1.0;5.0;0.0;8.0;0.0;8.0;L
2.0;4.0;4.0;3.0;2.0;6.0;10.0;1.0;7.0;8.0;11.0;8.0;1.0;11.0;2.0;7.0;Y
4.0;5.0;6.0;6.0;5.0;8.0;10.0;4.0;4.0;7.0;7.0;9.0;3.0;7.0;7.0;5.0;J
4.0;9.0;5.0;6.0;4.0;7.0;8.0;7.0;7.0;8.0;4.0;7.0;2.0;7.0;9.0;8.0;S
6.0;9.0;7.0;11.0;7.0;8.0;5.0;7.0;5.0;9.0;6.0;9.0;3.0;8.0;6.0;8.0;Q
3.0;5.0;5.0;4.0;4.0;9.0;3.0;4.0;3.0;8.0;4.0;9.0;3.0;6.0;4.0;8.0;Q
2.0;6.0;3.0;4.0;2.0;6.0;7.0;10.0;8.0;6.0;6.0;6.0;3.0;8.0;3.0;8.0;D
6.0;10.0;4.0;5.0;2.0;6.0;9.0;6.0;6.0;11.0;7.0;7.0;2.0;9.0;5.0;9.0;C
5.0;10.0;6.0;8.0;5.0;9.0;3.0;2.0;6.0;9.0;2.0;9.0;2.0;5.0;3.0;9.0;L
3.0;3.0;3.0;5.0;2.0;7.0;7.0;13.0;2.0;5.0;6.0;8.0;5.0;8.0;0.0;8.0;N
2.0;3.0;3.0;1.0;1.0;5.0;9.0;4.0;6.0;11.0;9.0;11.0;1.0;9.0;2.0;8.0;C
6.0;9.0;4.0;4.0;2.0;7.0;7.0;4.0;7.0;10.0;6.0;10.0;1.0;9.0;7.0;9.0;E
4.0;9.0;5.0;6.0;5.0;7.0;6.0;3.0;5.0;6.0;6.0;9.0;2.0;8.0;8.0;8.0;X
3.0;3.0;4.0;1.0;2.0;8.0;7.0;5.0;6.0;7.0;6.0;8.0;5.0;8.0;3.0;7.0;H
2.0;3.0;2.0;4.0;1.0;0.0;1.0;5.0;6.0;0.0;0.0;6.0;0.0;8.0;0.0;8.0;L
3.0;5.0;5.0;4.0;3.0;7.0;8.0;3.0;6.0;10.0;6.0;8.0;3.0;8.0;3.0;8.0;H
2.0;3.0;3.0;2.0;2.0;7.0;7.0;5.0;7.0;7.0;6.0;8.0;2.0;8.0;5.0;10.0;E
5.0;10.0;6.0;7.0;6.0;9.0;6.0;6.0;4.0;7.0;8.0;7.0;6.0;9.0;8.0;3.0;Y
8.0;12.0;8.0;6.0;4.0;9.0;8.0;4.0;5.0;8.0;4.0;5.0;6.0;9.0;5.0;9.0;H
5.0;10.0;5.0;5.0;4.0;9.0;6.0;5.0;6.0;10.0;6.0;7.0;4.0;8.0;9.0;9.0;Q
3.0;8.0;5.0;7.0;3.0;8.0;7.0;9.0;6.0;6.0;6.0;9.0;3.0;8.0;5.0;9.0;Q
4.0;6.0;6.0;4.0;5.0;8.0;5.0;6.0;4.0;6.0;7.0;10.0;4.0;7.0;5.0;9.0;Q
2.0;8.0;3.0;6.0;1.0;13.0;3.0;8.0;4.0;13.0;3.0;11.0;1.0;6.0;0.0;8.0;J
4.0;7.0;5.0;5.0;2.0;8.0;9.0;1.0;7.0;14.0;5.0;6.0;0.0;8.0;1.0;8.0;J
4.0;5.0;5.0;4.0;3.0;7.0;7.0;7.0;7.0;7.0;6.0;5.0;2.0;8.0;3.0;7.0;D
2.0;6.0;4.0;4.0;3.0;6.0;7.0;5.0;5.0;6.0;5.0;7.0;3.0;7.0;5.0;8.0;R
4.0;5.0;7.0;4.0;4.0;6.0;6.0;3.0;4.0;9.0;9.0;10.0;7.0;5.0;2.0;8.0;M
3.0;7.0;5.0;5.0;3.0;12.0;2.0;3.0;2.0;10.0;2.0;9.0;2.0;6.0;3.0;8.0;A
3.0;5.0;4.0;4.0;2.0;7.0;8.0;5.0;4.0;7.0;7.0;7.0;6.0;9.0;2.0;5.0;N
6.0;10.0;9.0;7.0;8.0;3.0;7.0;4.0;5.0;10.0;11.0;10.0;7.0;9.0;3.0;7.0;M
8.0;14.0;7.0;8.0;4.0;5.0;10.0;6.0;3.0;12.0;5.0;4.0;4.0;10.0;4.0;8.0;P
6.0;12.0;5.0;7.0;4.0;8.0;5.0;4.0;3.0;9.0;9.0;11.0;4.0;9.0;8.0;10.0;C
6.0;10.0;8.0;8.0;7.0;8.0;5.0;7.0;5.0;7.0;6.0;6.0;3.0;9.0;8.0;9.0;P
2.0;3.0;3.0;1.0;1.0;5.0;9.0;3.0;3.0;10.0;8.0;8.0;4.0;8.0;0.0;8.0;N
3.0;4.0;4.0;3.0;2.0;9.0;10.0;3.0;2.0;5.0;9.0;7.0;6.0;11.0;0.0;8.0;W
3.0;8.0;5.0;6.0;6.0;8.0;7.0;4.0;1.0;8.0;7.0;8.0;5.0;10.0;4.0;7.0;V
6.0;9.0;9.0;8.0;10.0;8.0;7.0;5.0;5.0;7.0;6.0;8.0;8.0;9.0;9.0;3.0;V
6.0;7.0;9.0;5.0;7.0;4.0;7.0;3.0;5.0;10.0;10.0;11.0;8.0;6.0;3.0;7.0;M
4.0;8.0;5.0;6.0;4.0;7.0;7.0;4.0;8.0;11.0;8.0;9.0;2.0;9.0;5.0;7.0;E
6.0;11.0;8.0;8.0;9.0;5.0;8.0;3.0;4.0;8.0;8.0;9.0;7.0;9.0;5.0;4.0;N
8.0;10.0;8.0;7.0;4.0;3.0;10.0;3.0;7.0;11.0;12.0;6.0;1.0;11.0;3.0;5.0;Y
4.0;8.0;5.0;6.0;3.0;6.0;8.0;4.0;1.0;7.0;8.0;8.0;8.0;9.0;0.0;8.0;W
6.0;7.0;8.0;6.0;6.0;6.0;6.0;5.0;6.0;8.0;5.0;8.0;3.0;6.0;5.0;6.0;O
4.0;4.0;4.0;6.0;2.0;7.0;7.0;14.0;2.0;5.0;6.0;8.0;6.0;8.0;0.0;8.0;N
4.0;8.0;5.0;6.0;5.0;7.0;10.0;8.0;5.0;8.0;5.0;6.0;3.0;6.0;7.0;11.0;H
4.0;7.0;5.0;5.0;3.0;8.0;7.0;8.0;5.0;10.0;6.0;8.0;3.0;8.0;3.0;8.0;O
