id;gender;age;previously_insured;vehicle_age;vehicle_damage;annual_premium;vintage;response
1;male;44;no;3;yes;40454;217;interested
2;male;76;no;2;no;33536;183;not-interested
3;male;47;no;3;yes;38294;27;interested
4;male;21;yes;1;no;28619;203;not-interested
5;female;29;yes;1;no;27496;39;not-interested
6;female;24;no;1;yes;2630;176;not-interested
7;male;23;no;1;yes;23367;249;not-interested
8;female;56;no;2;yes;32031;72;interested
9;female;24;yes;1;no;27619;28;not-interested
10;female;32;yes;1;no;28771;80;not-interested
11;female;47;no;2;yes;47576;46;interested
12;female;24;yes;1;no;48699;289;not-interested
13;female;41;yes;2;no;31409;221;not-interested
14;male;76;no;2;yes;36770;15;not-interested
15;male;71;yes;2;no;46818;58;not-interested
16;male;37;no;2;yes;2630;147;interested
17;female;25;no;1;yes;26218;256;not-interested
18;female;25;yes;1;no;46622;299;not-interested
19;male;42;no;2;yes;33667;158;not-interested
20;female;60;no;2;yes;32363;102;interested
21;male;65;no;2;yes;41184;116;not-interested
22;male;49;no;2;yes;50791;177;not-interested
23;male;23;yes;1;no;45283;232;not-interested
24;male;44;no;2;yes;41852;60;not-interested
25;male;34;yes;2;no;38111;180;not-interested
26;female;21;yes;1;no;61964;72;not-interested
27;female;51;no;2;yes;38341;49;interested
28;male;26;yes;1;no;19135;57;not-interested
29;female;25;yes;1;no;27946;223;not-interested
30;male;57;no;2;yes;25679;232;interested
31;female;26;no;1;no;2630;136;not-interested
32;male;79;no;2;yes;57444;222;not-interested
33;female;48;no;2;yes;36951;149;not-interested
34;female;24;no;1;yes;43129;49;not-interested
35;female;32;yes;1;no;27638;169;not-interested
36;male;41;yes;2;no;30039;88;not-interested
37;male;71;yes;2;no;40903;253;not-interested
38;female;25;yes;1;no;76251;107;not-interested
39;male;45;no;2;yes;42297;264;not-interested
40;male;72;yes;2;no;32210;233;not-interested
41;male;30;no;1;yes;24550;45;not-interested
42;female;54;no;2;no;38560;184;not-interested
43;male;27;no;1;no;21078;251;not-interested
44;female;38;yes;2;no;2630;153;not-interested
45;female;26;yes;1;no;31136;186;not-interested
46;male;56;no;2;yes;34617;71;not-interested
47;female;29;yes;1;no;32923;34;not-interested
48;male;51;yes;2;no;33761;83;not-interested
49;female;25;no;1;no;38667;12;not-interested
50;male;48;no;2;no;38233;246;not-interested
51;female;22;no;1;no;15052;141;not-interested
52;male;22;no;1;yes;30673;216;not-interested
53;female;49;yes;2;no;25553;130;not-interested
54;male;78;yes;2;no;49491;282;not-interested
55;female;44;no;2;yes;45415;73;not-interested
56;female;20;no;1;yes;25380;171;not-interested
57;male;39;no;2;yes;57582;141;not-interested
58;male;54;no;2;yes;25205;283;interested
59;female;62;no;2;yes;2630;295;not-interested
60;male;29;yes;1;no;35463;165;not-interested
61;male;49;no;2;yes;2630;30;not-interested
62;female;20;no;1;yes;36615;218;not-interested
63;female;62;no;3;yes;33830;130;not-interested
64;male;58;yes;2;no;39661;141;not-interested
65;male;39;no;2;yes;37849;22;not-interested
66;female;59;no;2;yes;34426;147;not-interested
67;male;41;no;2;yes;42268;36;not-interested
68;male;60;no;2;yes;66338;73;not-interested
69;male;63;yes;2;no;61739;79;not-interested
70;female;50;no;2;yes;2630;81;interested
71;male;44;no;2;yes;46481;100;not-interested
72;female;27;no;1;yes;34587;63;not-interested
73;female;23;yes;1;no;40372;242;not-interested
74;male;50;yes;2;no;27784;277;not-interested
75;male;59;no;2;no;27865;39;not-interested
76;female;59;yes;2;no;35649;136;not-interested
77;male;67;yes;2;no;31993;61;not-interested
78;female;27;yes;1;no;35512;111;not-interested
79;male;29;no;2;yes;42567;167;interested
80;male;77;yes;2;no;40651;183;not-interested
81;male;54;no;2;yes;35493;74;not-interested
82;female;28;yes;1;no;38529;235;not-interested
83;female;39;yes;2;no;34735;131;not-interested
84;female;39;no;2;yes;31760;141;not-interested
85;male;69;no;2;yes;29802;158;not-interested
86;female;21;no;1;yes;27756;243;not-interested
87;female;54;no;3;yes;32873;248;not-interested
88;male;25;no;1;yes;23537;58;not-interested
89;female;23;yes;1;no;27606;114;not-interested
90;female;20;no;1;yes;46275;281;interested
91;female;25;yes;1;no;31556;62;not-interested
92;female;26;yes;1;no;31791;189;not-interested
93;male;77;no;2;yes;36099;139;not-interested
94;female;28;no;2;no;2630;138;not-interested
95;female;23;no;1;yes;41641;209;not-interested
96;female;23;no;1;no;26689;254;not-interested
97;male;50;no;2;yes;46995;291;not-interested
98;female;62;no;3;yes;41892;114;not-interested
99;female;21;no;1;yes;34274;79;not-interested
100;female;24;yes;1;yes;2630;68;not-interested
101;male;52;yes;2;no;36033;92;not-interested
102;male;24;yes;1;no;28139;52;not-interested
103;female;20;no;1;yes;33227;78;not-interested
104;female;22;yes;1;no;39816;156;not-interested
105;male;29;yes;1;yes;43046;222;not-interested
106;female;44;no;2;yes;50521;22;interested
107;female;23;yes;1;no;36674;158;not-interested
108;male;31;no;2;yes;28867;247;not-interested
109;male;72;yes;2;yes;28698;216;not-interested
110;male;45;no;2;yes;2630;275;not-interested
111;male;27;yes;1;no;31428;77;not-interested
112;female;48;no;3;yes;37379;139;not-interested
113;female;33;yes;1;no;24998;181;not-interested
114;male;50;no;2;yes;34271;229;interested
115;female;28;yes;1;no;32830;275;not-interested
116;female;32;no;2;yes;34810;166;not-interested
117;male;69;no;2;yes;2630;16;not-interested
118;female;32;yes;1;no;22838;295;not-interested
119;female;23;yes;1;no;37983;23;not-interested
120;female;23;no;1;no;2630;149;not-interested
121;male;39;no;2;yes;37239;216;interested
122;female;39;yes;2;no;37243;31;not-interested
123;male;37;no;2;yes;30440;293;not-interested
124;male;34;no;2;yes;38232;156;interested
125;male;23;yes;1;no;25605;256;not-interested
126;male;49;no;2;yes;2630;88;not-interested
127;male;23;yes;1;no;33307;147;not-interested
128;female;22;no;1;yes;23955;22;not-interested
129;female;22;no;1;yes;2630;219;not-interested
130;female;27;yes;1;no;22371;50;not-interested
131;male;50;no;2;yes;57389;155;interested
132;female;27;yes;1;no;30005;92;not-interested
133;male;28;yes;1;no;32600;131;not-interested
134;female;25;yes;1;no;31680;66;not-interested
135;female;27;yes;1;no;40651;260;not-interested
136;female;43;no;2;yes;2630;19;interested
137;female;59;no;2;yes;32775;158;not-interested
138;female;23;no;1;yes;33638;22;not-interested
139;male;36;yes;2;no;2630;258;not-interested
140;male;21;yes;1;no;62164;116;not-interested
141;female;21;yes;1;no;27528;117;not-interested
142;female;47;yes;2;no;42080;62;not-interested
143;male;25;yes;1;no;36202;193;not-interested
144;female;32;no;2;yes;27320;204;not-interested
145;male;21;yes;1;no;40511;212;not-interested
146;male;23;no;1;yes;56589;144;not-interested
147;female;27;yes;1;no;33780;246;not-interested
148;male;20;yes;1;no;28329;78;not-interested
149;female;38;no;2;yes;34471;234;interested
150;female;22;yes;1;no;76651;258;not-interested
151;male;25;no;1;yes;54385;206;not-interested
152;male;27;no;1;yes;26732;282;not-interested
153;male;51;no;2;yes;2630;228;not-interested
154;male;53;yes;2;no;40397;156;not-interested
155;female;24;yes;1;no;34591;125;not-interested
156;female;49;no;2;yes;32771;29;not-interested
157;female;41;no;2;yes;54740;212;interested
158;male;41;no;2;yes;25112;221;not-interested
159;female;23;no;1;yes;28737;18;not-interested
160;female;31;yes;1;no;25908;84;not-interested
161;male;20;yes;1;no;41914;206;not-interested
162;male;70;yes;2;no;2630;230;not-interested
163;male;78;yes;2;no;42462;54;not-interested
164;female;31;yes;2;no;29395;123;not-interested
165;female;48;yes;2;no;2630;189;not-interested
166;male;25;yes;1;no;29396;22;not-interested
167;female;28;no;2;yes;37570;258;interested
168;female;26;no;1;yes;89282;101;not-interested
169;female;60;yes;2;no;30386;114;not-interested
170;female;28;yes;1;no;31454;86;not-interested
171;male;23;yes;1;no;52462;243;not-interested
172;male;22;yes;1;no;36352;13;not-interested
173;female;50;no;2;yes;36282;237;not-interested
174;female;33;yes;1;no;40899;85;not-interested
175;male;24;yes;1;no;23540;98;not-interested
176;female;22;yes;1;no;34527;67;not-interested
177;male;25;yes;1;no;101021;49;not-interested
178;male;60;no;2;no;42888;229;not-interested
179;male;46;no;2;yes;60478;128;interested
180;female;45;no;2;yes;22689;95;not-interested
181;male;30;yes;2;no;40167;264;not-interested
182;male;52;no;2;yes;2630;89;not-interested
183;male;47;yes;2;no;29306;99;not-interested
184;male;59;yes;2;no;28821;29;not-interested
185;female;51;no;2;yes;57008;208;not-interested
186;male;52;yes;2;no;2630;134;not-interested
187;male;48;no;3;yes;44021;135;not-interested
188;male;42;no;2;yes;36532;268;not-interested
189;female;45;no;2;yes;25604;85;not-interested
190;female;27;yes;2;no;26756;254;not-interested
191;female;28;yes;1;no;37731;30;not-interested
192;female;24;yes;1;no;28190;284;not-interested
193;male;32;yes;1;no;23847;183;not-interested
194;male;21;no;1;no;37028;119;not-interested
195;male;39;yes;2;no;29468;166;not-interested
196;male;55;yes;2;no;29215;226;not-interested
197;female;56;no;2;no;29132;229;not-interested
198;male;42;no;2;yes;32293;105;interested
199;female;26;yes;1;no;2630;142;not-interested
200;female;42;no;2;yes;40613;242;not-interested
201;male;55;no;2;yes;49470;203;not-interested
202;female;41;no;2;yes;22561;207;interested
203;male;22;yes;1;no;21126;272;not-interested
204;male;42;no;2;no;24224;66;not-interested
205;female;30;no;1;yes;39104;263;interested
206;male;21;no;1;yes;26720;64;not-interested
207;female;23;yes;1;no;18682;57;not-interested
208;female;21;no;1;yes;19196;40;not-interested
209;male;24;yes;1;no;18576;245;not-interested
210;male;26;no;1;yes;57159;163;not-interested
211;female;48;yes;2;no;35945;24;not-interested
212;male;45;no;2;yes;33205;243;not-interested
213;male;44;no;3;yes;42754;23;interested
214;male;42;no;2;no;28759;102;not-interested
215;male;44;no;2;no;34618;265;not-interested
216;female;25;no;1;no;34280;202;not-interested
217;female;60;no;3;yes;65472;36;not-interested
218;female;21;no;1;yes;33245;259;not-interested
219;male;22;no;1;yes;32252;100;not-interested
220;male;23;yes;1;no;26285;91;not-interested
221;female;44;yes;2;no;2630;114;not-interested
222;male;40;no;2;yes;2630;204;not-interested
223;male;21;yes;1;no;45006;106;not-interested
224;female;61;no;3;yes;2630;190;interested
225;male;75;no;3;yes;40765;162;not-interested
226;female;53;yes;2;no;44313;33;not-interested
227;male;37;yes;2;no;29099;194;not-interested
228;male;29;yes;1;no;44742;85;not-interested
229;male;32;no;1;no;2630;287;not-interested
230;female;64;yes;2;yes;41697;287;not-interested
231;male;42;no;2;yes;2630;181;not-interested
232;male;24;no;1;yes;36414;292;not-interested
233;male;53;no;2;yes;2630;69;not-interested
234;male;62;no;2;no;44679;239;not-interested
235;male;25;yes;1;no;39914;235;not-interested
236;male;23;no;1;yes;29575;281;interested
237;female;48;no;2;yes;44724;132;not-interested
238;male;28;yes;1;no;38339;245;not-interested
239;male;33;yes;2;no;27609;255;not-interested
240;female;63;no;3;yes;31004;281;not-interested
241;male;22;yes;1;no;30745;147;not-interested
242;male;27;yes;1;no;27181;125;not-interested
243;female;36;no;2;yes;40431;230;not-interested
244;male;49;no;2;yes;45558;49;not-interested
245;female;39;no;2;no;35145;116;not-interested
246;female;21;no;1;yes;35555;242;interested
247;female;57;no;2;yes;30777;158;not-interested
248;female;43;no;2;yes;29578;203;interested
249;female;25;no;1;no;2630;167;not-interested
250;male;41;yes;2;no;35614;152;not-interested
251;male;33;yes;1;no;2630;259;not-interested
252;male;23;yes;1;no;24886;111;not-interested
253;female;20;no;1;yes;33247;281;not-interested
254;male;36;yes;2;no;47682;121;not-interested
255;male;21;yes;1;no;37710;30;not-interested
256;female;57;no;3;yes;2630;71;not-interested
257;male;25;yes;1;no;43516;150;not-interested
258;female;24;no;1;yes;27141;246;not-interested
259;male;67;yes;2;no;31011;63;not-interested
260;male;24;yes;1;no;44603;207;not-interested
261;male;54;no;2;yes;34367;237;interested
262;female;22;yes;1;no;29823;128;not-interested
263;male;45;yes;2;no;2630;121;not-interested
264;male;22;yes;1;no;2630;60;not-interested
265;male;24;no;1;yes;21583;143;not-interested
266;female;22;yes;1;no;32234;117;not-interested
267;male;48;no;2;yes;42028;77;not-interested
268;female;28;yes;1;no;26106;95;not-interested
269;female;27;no;1;yes;2630;83;not-interested
270;male;49;yes;2;no;2630;198;not-interested
271;male;62;no;2;yes;47272;194;not-interested
272;male;45;no;2;yes;42704;116;not-interested
273;female;60;no;2;yes;2630;143;not-interested
274;female;20;no;2;no;2630;181;not-interested
275;female;38;no;2;yes;37039;103;not-interested
276;female;52;no;2;yes;2630;127;not-interested
277;female;36;no;2;yes;2630;69;interested
278;male;55;no;3;yes;41246;285;not-interested
279;female;20;no;1;yes;34281;214;not-interested
280;male;25;yes;1;no;47031;151;not-interested
281;male;25;no;1;no;2630;217;not-interested
282;female;54;no;2;yes;53581;199;interested
283;female;21;yes;1;no;36712;56;not-interested
284;male;40;no;3;yes;2630;86;not-interested
285;male;36;no;2;yes;34165;143;not-interested
286;male;42;no;2;yes;28883;66;not-interested
287;male;24;yes;1;no;35443;45;not-interested
288;male;39;no;2;yes;32807;186;not-interested
289;male;26;no;1;yes;24115;69;not-interested
290;male;64;no;2;yes;2630;293;not-interested
