time,month,temperature
1,1,-19.6
2,2,-20.5
3,3,-16.4
4,4,-15.7
5,5,-4.1
6,6,4.2
7,7,5.2
8,8,3.9
9,9,-0.8
10,10,-5.7
11,11,-9.2
12,12,-7.3
13,1,-10.9
14,2,-14.9
15,3,-12.3
16,4,-5.7
17,5,-3.3
18,6,2.5
19,7,5.7
20,8,6.5
21,9,2.7
22,10,-5.6
23,11,-4
24,12,-8
25,1,-16.9
26,2,-18.1
27,3,-14.4
28,4,-6.5
29,5,-3.3
30,6,4.1
31,7,6
32,8,6.1
33,9,1.1
34,10,-1.6
35,11,-9.5
36,12,-12.7
37,1,-9.4
38,2,-13.7
39,3,-16.1
40,4,-7
41,5,-6.9
42,6,3.9
43,7,5
44,8,4.9
45,9,1.5
46,10,-1.9
47,11,-15.1
48,12,-15.5
49,1,-17.9
50,2,-9.2
51,3,-13.4
52,4,-10.6
53,5,-2.2
54,6,6.6
55,7,8
56,8,6.9
57,9,3.8
58,10,-2.2
59,11,-12
60,12,-15.6
61,1,-16.7
62,2,-21.6
63,3,-19.8
64,4,-16.8
65,5,-5.8
66,6,4.8
67,7,6.3
68,8,5.5
69,9,1.2
70,10,-3.6
71,11,-8.7
72,12,-12.6
73,1,-19.4
74,2,-11.7
75,3,-11.2
76,4,-10.5
77,5,-2.3
78,6,3.4
79,7,6.7
80,8,4.1
81,9,-0.1
82,10,-6.4
83,11,-8.9
84,12,-3.5
85,1,-4.4
86,2,-19.7
87,3,-21.7
88,4,-17.6
89,5,-1.4
90,6,3.3
91,7,3.7
92,8,4.4
93,9,-0.3
94,10,-3.6
95,11,-13.8
96,12,-10.1
97,1,-9.2
98,2,-13.6
99,3,-5.9
100,4,-10.5
101,5,-2.8
102,6,2.1
103,7,4.3
104,8,4.9
105,9,0.8
106,10,-1.1
107,11,-5.5
108,12,-7.1
109,1,-13.8
110,2,-14.9
111,3,-12.5
112,4,-8.8
113,5,-4.9
114,6,3.1
115,7,5.8
116,8,5.4
117,9,-0.6
118,10,-6.7
119,11,-8.5
120,12,-8.4
121,1,-2.5
122,2,-8.1
123,3,-14.7
124,4,-11.8
125,5,-3.6
126,6,4.3
127,7,6.9
128,8,5.4
129,9,1.8
130,10,-2.8
131,11,-4.5
132,12,-11.8
133,1,-9.7
134,2,-10.2
135,3,-8.9
136,4,-7.5
137,5,-2.4
138,6,2.5
139,7,6.2
140,8,5.7
141,9,1.9
142,10,-1.6
143,11,-5.9
144,12,-6.4
145,1,-7.3
146,2,-6.9
147,3,-16.7
148,4,-9
149,5,-2.1
150,6,2
151,7,6.9
152,8,5
153,9,1.3
154,10,-2.3
155,11,-6.7
156,12,-5.6
157,1,-8.7
158,2,-8.7
159,3,-7.1
160,4,-9.2
161,5,-5.6
162,6,4
163,7,4.9
164,8,5.6
165,9,3.5
166,10,-5.3
167,11,-8.1
168,12,-14
169,1,-10.8
170,2,-14.5
171,3,-13.3
172,4,-7.3
