longitudinal_center_buoyancy;prismatic_coefficient;length_displacement_ratio;beam_draught_ratio;lenght_beam_ratio;froude_number;residuary_resistance
-2.3;0.568;4.78;3.99;3.17;0.125;0.11
-2.3;0.568;4.78;3.99;3.17;0.15;0.27
-2.3;0.568;4.78;3.99;3.17;0.175;0.47
-2.3;0.568;4.78;3.99;3.17;0.2;0.78
-2.3;0.568;4.78;3.99;3.17;0.225;1.18
-2.3;0.568;4.78;3.99;3.17;0.25;1.82
-2.3;0.568;4.78;3.99;3.17;0.275;2.61
-2.3;0.568;4.78;3.99;3.17;0.3;3.76
-2.3;0.568;4.78;3.99;3.17;0.325;4.99
-2.3;0.568;4.78;3.99;3.17;0.35;7.16
-2.3;0.568;4.78;3.99;3.17;0.375;11.93
-2.3;0.568;4.78;3.99;3.17;0.4;20.11
-2.3;0.568;4.78;3.99;3.17;0.425;32.75
-2.3;0.568;4.78;3.99;3.17;0.45;49.49
-2.3;0.569;4.78;3.04;3.64;0.125;0.04
-2.3;0.569;4.78;3.04;3.64;0.15;0.17
-2.3;0.569;4.78;3.04;3.64;0.175;0.37
-2.3;0.569;4.78;3.04;3.64;0.2;0.66
-2.3;0.569;4.78;3.04;3.64;0.225;1.06
-2.3;0.569;4.78;3.04;3.64;0.25;1.59
-2.3;0.569;4.78;3.04;3.64;0.275;2.33
-2.3;0.569;4.78;3.04;3.64;0.3;3.29
-2.3;0.569;4.78;3.04;3.64;0.325;4.61
-2.3;0.569;4.78;3.04;3.64;0.35;7.11
-2.3;0.569;4.78;3.04;3.64;0.375;11.99
-2.3;0.569;4.78;3.04;3.64;0.4;21.09
-2.3;0.569;4.78;3.04;3.64;0.425;35.01
-2.3;0.569;4.78;3.04;3.64;0.45;51.8
-2.3;0.565;4.78;5.35;2.76;0.125;0.09
-2.3;0.565;4.78;5.35;2.76;0.15;0.29
-2.3;0.565;4.78;5.35;2.76;0.175;0.56
-2.3;0.565;4.78;5.35;2.76;0.2;0.86
-2.3;0.565;4.78;5.35;2.76;0.225;1.31
-2.3;0.565;4.78;5.35;2.76;0.25;1.99
-2.3;0.565;4.78;5.35;2.76;0.275;2.94
-2.3;0.565;4.78;5.35;2.76;0.3;4.21
-2.3;0.565;4.78;5.35;2.76;0.325;5.54
-2.3;0.565;4.78;5.35;2.76;0.35;8.25
-2.3;0.565;4.78;5.35;2.76;0.375;13.08
-2.3;0.565;4.78;5.35;2.76;0.4;21.4
-2.3;0.565;4.78;5.35;2.76;0.425;33.14
-2.3;0.565;4.78;5.35;2.76;0.45;50.14
-2.3;0.564;5.1;3.95;3.53;0.125;0.2
-2.3;0.564;5.1;3.95;3.53;0.15;0.35
-2.3;0.564;5.1;3.95;3.53;0.175;0.65
-2.3;0.564;5.1;3.95;3.53;0.2;0.93
-2.3;0.564;5.1;3.95;3.53;0.225;1.37
-2.3;0.564;5.1;3.95;3.53;0.25;1.97
-2.3;0.564;5.1;3.95;3.53;0.275;2.83
-2.3;0.564;5.1;3.95;3.53;0.3;3.99
-2.3;0.564;5.1;3.95;3.53;0.325;5.19
-2.3;0.564;5.1;3.95;3.53;0.35;8.03
-2.3;0.564;5.1;3.95;3.53;0.375;12.86
-2.3;0.564;5.1;3.95;3.53;0.4;21.51
-2.3;0.564;5.1;3.95;3.53;0.425;33.97
-2.3;0.564;5.1;3.95;3.53;0.45;50.36
-2.4;0.574;4.36;3.96;2.76;0.125;0.2
-2.4;0.574;4.36;3.96;2.76;0.15;0.35
-2.4;0.574;4.36;3.96;2.76;0.175;0.65
-2.4;0.574;4.36;3.96;2.76;0.2;0.93
-2.4;0.574;4.36;3.96;2.76;0.225;1.37
-2.4;0.574;4.36;3.96;2.76;0.25;1.97
-2.4;0.574;4.36;3.96;2.76;0.275;2.83
-2.4;0.574;4.36;3.96;2.76;0.3;3.99
-2.4;0.574;4.36;3.96;2.76;0.325;5.19
-2.4;0.574;4.36;3.96;2.76;0.35;8.03
-2.4;0.574;4.36;3.96;2.76;0.375;12.86
-2.4;0.574;4.36;3.96;2.76;0.4;21.51
-2.4;0.574;4.36;3.96;2.76;0.425;33.97
-2.4;0.574;4.36;3.96;2.76;0.45;50.36
-2.4;0.568;4.34;2.98;3.15;0.125;0.12
-2.4;0.568;4.34;2.98;3.15;0.15;0.26
-2.4;0.568;4.34;2.98;3.15;0.175;0.43
-2.4;0.568;4.34;2.98;3.15;0.2;0.69
-2.4;0.568;4.34;2.98;3.15;0.225;1.09
-2.4;0.568;4.34;2.98;3.15;0.25;1.67
-2.4;0.568;4.34;2.98;3.15;0.275;2.46
-2.4;0.568;4.34;2.98;3.15;0.3;3.43
-2.4;0.568;4.34;2.98;3.15;0.325;4.62
-2.4;0.568;4.34;2.98;3.15;0.35;6.86
-2.4;0.568;4.34;2.98;3.15;0.375;11.56
-2.4;0.568;4.34;2.98;3.15;0.4;20.63
-2.4;0.568;4.34;2.98;3.15;0.425;34.5
-2.4;0.568;4.34;2.98;3.15;0.45;54.23
-2.3;0.562;5.14;4.95;3.17;0.125;0.28
-2.3;0.562;5.14;4.95;3.17;0.15;0.44
-2.3;0.562;5.14;4.95;3.17;0.175;0.7
-2.3;0.562;5.14;4.95;3.17;0.2;1.07
-2.3;0.562;5.14;4.95;3.17;0.225;1.57
-2.3;0.562;5.14;4.95;3.17;0.25;2.23
-2.3;0.562;5.14;4.95;3.17;0.275;3.09
-2.3;0.562;5.14;4.95;3.17;0.3;4.09
-2.3;0.562;5.14;4.95;3.17;0.325;5.82
-2.3;0.562;5.14;4.95;3.17;0.35;8.28
-2.3;0.562;5.14;4.95;3.17;0.375;12.8
-2.3;0.562;5.14;4.95;3.17;0.4;20.41
-2.3;0.562;5.14;4.95;3.17;0.425;32.34
-2.3;0.562;5.14;4.95;3.17;0.45;47.29
-2.4;0.585;4.78;3.84;3.32;0.125;0.2
-2.4;0.585;4.78;3.84;3.32;0.15;0.38
-2.4;0.585;4.78;3.84;3.32;0.175;0.64
-2.4;0.585;4.78;3.84;3.32;0.2;0.97
-2.4;0.585;4.78;3.84;3.32;0.225;1.36
-2.4;0.585;4.78;3.84;3.32;0.25;1.98
-2.4;0.585;4.78;3.84;3.32;0.275;2.91
-2.4;0.585;4.78;3.84;3.32;0.3;4.35
-2.4;0.585;4.78;3.84;3.32;0.325;5.79
-2.4;0.585;4.78;3.84;3.32;0.35;8.04
-2.4;0.585;4.78;3.84;3.32;0.375;12.15
-2.4;0.585;4.78;3.84;3.32;0.4;19.18
-2.4;0.585;4.78;3.84;3.32;0.425;30.09
-2.4;0.585;4.78;3.84;3.32;0.45;44.38
-2.2;0.546;4.78;4.13;3.07;0.125;0.15
-2.2;0.546;4.78;4.13;3.07;0.15;0.32
-2.2;0.546;4.78;4.13;3.07;0.175;0.55
-2.2;0.546;4.78;4.13;3.07;0.2;0.86
-2.2;0.546;4.78;4.13;3.07;0.225;1.24
-2.2;0.546;4.78;4.13;3.07;0.25;1.76
-2.2;0.546;4.78;4.13;3.07;0.275;2.49
-2.2;0.546;4.78;4.13;3.07;0.3;3.45
-2.2;0.546;4.78;4.13;3.07;0.325;4.83
-2.2;0.546;4.78;4.13;3.07;0.35;7.37
-2.2;0.546;4.78;4.13;3.07;0.375;12.76
-2.2;0.546;4.78;4.13;3.07;0.4;21.99
-2.2;0.546;4.78;4.13;3.07;0.425;35.64
-2.2;0.546;4.78;4.13;3.07;0.45;53.07
0;0.565;4.77;3.99;3.15;0.125;0.11
0;0.565;4.77;3.99;3.15;0.15;0.24
0;0.565;4.77;3.99;3.15;0.175;0.49
0;0.565;4.77;3.99;3.15;0.2;0.79
0;0.565;4.77;3.99;3.15;0.225;1.28
0;0.565;4.77;3.99;3.15;0.25;1.96
0;0.565;4.77;3.99;3.15;0.275;2.88
0;0.565;4.77;3.99;3.15;0.3;4.14
0;0.565;4.77;3.99;3.15;0.325;5.96
0;0.565;4.77;3.99;3.15;0.35;9.07
0;0.565;4.77;3.99;3.15;0.375;14.93
0;0.565;4.77;3.99;3.15;0.4;24.13
0;0.565;4.77;3.99;3.15;0.425;38.12
0;0.565;4.77;3.99;3.15;0.45;55.44
-5;0.565;4.77;3.99;3.15;0.125;0.07
-5;0.565;4.77;3.99;3.15;0.15;0.18
-5;0.565;4.77;3.99;3.15;0.175;0.4
-5;0.565;4.77;3.99;3.15;0.2;0.7
-5;0.565;4.77;3.99;3.15;0.225;1.14
-5;0.565;4.77;3.99;3.15;0.25;1.83
-5;0.565;4.77;3.99;3.15;0.275;2.77
-5;0.565;4.77;3.99;3.15;0.3;4.12
-5;0.565;4.77;3.99;3.15;0.325;5.41
-5;0.565;4.77;3.99;3.15;0.35;7.87
-5;0.565;4.77;3.99;3.15;0.375;12.71
-5;0.565;4.77;3.99;3.15;0.4;21.02
